Doss.,Prénom Nom,genre,Col de Voza,St-Gervais,Contamines,ND la Gorge,La Balme,Bonhomme,Chapieux,Col Seigne,Lac Combal,Mt-Favre,Checrouit,Courmayeur sortie,Bertone,Bonatti,Arnouvaz,Col Ferret,La Peule,La Fouly,Champex-Lac,La Giète,Trient,Tseppes,Vallorcine,La Flégère,Chamonix,Total
303,Junko YANO,W,0.046282619399310686,0.025603151157065487,0.03643525356967011,0.015755785327424915,0.023633677991137372,0.04086656819300837,0.023633677991137372,0.059084194977843424,0.03643525356967011,0.029049729197439686,0.01674052191038897,0.03249630723781388,0.04086656819300837,0.03741999015263417,0.0241260462826194,0.0448055145248646,0.01674052191038897,0.028064992614475627,0.09502708025603152,0.06745445593303791,0.04037419990152634,0.034958148695224026,0.06253077301821763,0.09108813392417528,0.03052683407188577,1 days 09:51:00
613,Oran FINEGAN,M,0.048347311297483965,0.0246669955599408,0.0370004933399112,0.015786877158362113,0.026640355204736062,0.03996053280710409,0.0246669955599408,0.06018746916625555,0.0370004933399112,0.031080414405525406,0.018746916625555006,0.046373951652688705,0.036013813517513565,0.036507153428712386,0.026640355204736062,0.0493339911198816,0.01480019733596448,0.029107054760730142,0.08386778490379872,0.07153428712382832,0.0370004933399112,0.03552047360631475,0.058214109521460285,0.080414405525407,0.030587074494326592,1 days 09:47:00
514,Robin HURNI,M,0.04874446085672083,0.025603151157065487,0.04283604135893648,0.0206794682422452,0.03151157065484983,0.04431314623338257,0.022648941408173313,0.06253077301821763,0.03643525356967011,0.03003446578040374,0.015755785327424915,0.03348104382077794,0.0379123584441162,0.03643525356967011,0.025110782865583457,0.04677498769079271,0.014278680452978828,0.028064992614475627,0.08025603151157065,0.06794682422451995,0.034958148695224026,0.035942885278188084,0.06006893156080748,0.08517971442639094,0.03249630723781388,1 days 09:51:00
889,Thibault LIMOUSIN,M,0.050763923114834894,0.02759980285855101,0.03942828979793001,0.018728437654016758,0.02661409561360276,0.040413997042878264,0.021192705766387383,0.06160670280926565,0.03893543617545589,0.030064070970921637,0.016757023164120255,0.027106949236076885,0.055692459339576145,0.03992114342040414,0.02464268112370626,0.046821094135041895,0.015278462296697881,0.02858551010349926,0.08624938393297191,0.06801379990142928,0.03449975357318876,0.03449975357318876,0.05519960571710202,0.08033514046328241,0.031049778215869888,1 days 09:49:00
758,Rikki DE LOUCHE,M,0.047244094488188976,0.0265748031496063,0.03740157480314961,0.024114173228346455,0.022637795275590553,0.04084645669291338,0.02608267716535433,0.054133858267716536,0.03641732283464567,0.03346456692913386,0.018208661417322834,0.03937007874015748,0.03248031496062992,0.03543307086614173,0.024606299212598427,0.04084645669291338,0.01968503937007874,0.02952755905511811,0.09399606299212598,0.0639763779527559,0.041830708661417325,0.031003937007874016,0.060039370078740155,0.08661417322834646,0.03346456692913386,1 days 09:52:00
461,Jonathan RYDER,M,0.04822834645669291,0.02608267716535433,0.04133858267716536,0.02066929133858268,0.028051181102362203,0.04675196850393701,0.024114173228346455,0.07283464566929133,0.03937007874015748,0.03543307086614173,0.018700787401574805,0.028543307086614175,0.038385826771653545,0.03641732283464567,0.024606299212598427,0.043799212598425195,0.018208661417322834,0.02952755905511811,0.07578740157480315,0.06692913385826772,0.03346456692913386,0.03641732283464567,0.04773622047244094,0.08562992125984252,0.03297244094488189,1 days 09:52:00
1081,Anke SCHÖNBERGER,W,0.05019685039370079,0.025590551181102362,0.040354330708661415,0.015748031496062992,0.024606299212598427,0.03986220472440945,0.018208661417322834,0.058070866141732284,0.03789370078740158,0.030019685039370077,0.017716535433070866,0.03346456692913386,0.03887795275590551,0.03740157480314961,0.025590551181102362,0.04232283464566929,0.015748031496062992,0.028543307086614175,0.09251968503937008,0.07431102362204725,0.036909448818897635,0.038385826771653545,0.05265748031496063,0.09202755905511811,0.03297244094488189,1 days 09:52:00
880,Andrea BOMBINO,M,0.0457002457002457,0.02457002457002457,0.04373464373464373,0.019164619164619166,0.026535626535626536,0.039803439803439804,0.020147420147420148,0.06339066339066339,0.03882063882063882,0.0343980343980344,0.016707616707616706,0.02702702702702703,0.04471744471744472,0.040294840294840296,0.02407862407862408,0.03882063882063882,0.012776412776412777,0.02800982800982801,0.08402948402948403,0.07272727272727272,0.03292383292383293,0.03194103194103194,0.0683046683046683,0.09090909090909091,0.030466830466830467,1 days 09:55:00
1055,Chris GILL,M,0.051181102362204724,0.028543307086614175,0.04084645669291338,0.017716535433070866,0.025590551181102362,0.04232283464566929,0.024114173228346455,0.0625,0.03789370078740158,0.03051181102362205,0.017716535433070866,0.03543307086614173,0.036909448818897635,0.0344488188976378,0.02312992125984252,0.04084645669291338,0.01624015748031496,0.028543307086614175,0.08710629921259842,0.0654527559055118,0.04921259842519685,0.03198818897637795,0.056594488188976375,0.08070866141732283,0.0344488188976378,1 days 09:52:00
473,Federico PACHECO ROJAS,M,0.04808635917566242,0.02649656526005888,0.03631010794896958,0.019136408243375858,0.02845927379784102,0.04121687929342493,0.028949950932286556,0.05789990186457311,0.03680078508341511,0.03140333660451423,0.019136408243375858,0.03925417075564279,0.03483807654563297,0.033856722276741906,0.020608439646712464,0.04121687929342493,0.01324828263002944,0.029440628066732092,0.09470068694798822,0.06231599607458292,0.04416094210009813,0.033366045142296366,0.058881256133464184,0.08488714425907752,0.03532875368007851,1 days 09:58:00
