Doss.,Prénom Nom,genre,Col  Voza,St-Gervais,Contamines,La Balme,Bonhomme,Chapieux,Col Seigne,Lac Combal,Mt-Favre,Checrouit ,Courmayeur,Bertone,Bonatti,Arnouvaz,Col Ferret,La Fouly,Champex,La Giète,Trient,Tseppes,Vallorcine,La Flégère,Chamonix,Total
2002,Paul SHEPHERD,M,0.05226352594773647,0.027235921972764077,0.043798306956201696,0.042694147957305854,0.04158998895841001,0.020242914979757085,0.06551343393448657,0.04085388295914612,0.0305483989694516,0.016562384983437616,0.023555391976444608,0.0360691939639308,0.038645564961354434,0.027235921972764077,0.0430622009569378,0.043798306956201696,0.07876334192123666,0.08207581891792418,0.02944423997055576,0.051159366948840636,0.05189547294810453,0.07655502392344497,0.03643724696356275,1 days 21:17:00
2309,Daniel NOVELLAS,M,0.04416635995583364,0.024291497975708502,0.038645564961354434,0.044534412955465584,0.038645564961354434,0.017666543982333457,0.057048214942951786,0.03790945896209054,0.02981229297018771,0.016930437983069563,0.05042326094957674,0.03496503496503497,0.03459698196540302,0.02465955097534045,0.044534412955465584,0.045638571954361426,0.08575634891424365,0.08759661391240339,0.031284504968715494,0.04747883695252116,0.054471843945528155,0.07802723592197276,0.030916451969083547,1 days 21:17:00
2036,Christian TESTA,M,0.050055207949944794,0.026499815973500183,0.047110783952889215,0.044534412955465584,0.04637467795362532,0.016930437983069563,0.057048214942951786,0.037173352962826645,0.02834008097165992,0.016194331983805668,0.03165255796834744,0.037173352962826645,0.03570114096429886,0.027603974972396025,0.0430622009569378,0.0430622009569378,0.07324254692675745,0.0868605079131395,0.08317997791682002,0.027972027972027972,0.04011777695988222,0.06956201693043798,0.0305483989694516,1 days 21:17:00
939,Markus WINKLMEIER,M,0.045638571954361426,0.02686786897313213,0.041221935958778065,0.047110783952889215,0.04343025395656975,0.021347073978652927,0.06956201693043798,0.03901361796098638,0.02981229297018771,0.018770702981229296,0.03754140596245859,0.0368052999631947,0.03643724696356275,0.027972027972027972,0.03790945896209054,0.04784688995215311,0.0798675009201325,0.08133971291866028,0.03496503496503497,0.041221935958778065,0.05042326094957674,0.0721383879278616,0.032756716967243284,1 days 21:17:00
1545,Matthieu DESPEISSE,M,0.044534412955465584,0.025027603974972397,0.03754140596245859,0.04195804195804196,0.04048582995951417,0.016930437983069563,0.05888847994111152,0.04011777695988222,0.02981229297018771,0.016194331983805668,0.033860875966139126,0.035333087964666915,0.044534412955465584,0.023923444976076555,0.05042326094957674,0.04416635995583364,0.07839528892160472,0.0979020979020979,0.029076186970923814,0.04895104895104895,0.050055207949944794,0.07876334192123666,0.03312476996687523,1 days 21:17:00
1384,Filippo CANTONI,M,0.04674273095325727,0.025027603974972397,0.04011777695988222,0.037173352962826645,0.03754140596245859,0.0180345969819654,0.06440927493559072,0.05520794994479205,0.032756716967243284,0.01582627898417372,0.04416635995583364,0.0368052999631947,0.03827751196172249,0.030916451969083547,0.04232609495767391,0.044534412955465584,0.09974236290025763,0.08023555391976445,0.02686786897313213,0.04416635995583364,0.032388663967611336,0.07250644092749356,0.03422892896577107,1 days 21:17:00
2401,Takahiro YAMAZAKI,M,0.05077262693156733,0.02832965415746873,0.04304635761589404,0.045989698307579104,0.04194260485651214,0.019867549668874173,0.0717439293598234,0.04010301692420898,0.029065489330389993,0.01692420897718911,0.029801324503311258,0.03899926416482708,0.03568800588668138,0.026857983811626195,0.04010301692420898,0.04966887417218543,0.08020603384841796,0.09013980868285504,0.029433406916850625,0.041206769683590876,0.047093451066961,0.07027225901398086,0.032744665194996324,1 days 21:18:00
1159,Sara KOŁCZ,W,0.04893303899926416,0.025386313465783666,0.039367181751287714,0.04525386313465784,0.041206769683590876,0.017660044150110375,0.07321559970566593,0.03532008830022075,0.03200883002207505,0.016556291390728478,0.04083885209713024,0.04047093451066961,0.03863134657836645,0.02869757174392936,0.04562178072111847,0.04083885209713024,0.08866813833701251,0.10044150110375276,0.023178807947019868,0.041206769683590876,0.03679175864606328,0.06990434142752024,0.029801324503311258,1 days 21:18:00
2393,Ichiro MURATA,M,0.04231052244297277,0.0235467255334805,0.03789551140544518,0.041206769683590876,0.04231052244297277,0.01692420897718911,0.05923473142016188,0.039735099337748346,0.02832965415746873,0.016556291390728478,0.029433406916850625,0.04341427520235467,0.034584253127299486,0.026490066225165563,0.04415011037527594,0.044518027961736574,0.08351729212656366,0.0952906548933039,0.033112582781456956,0.0437821927888153,0.05481972038263429,0.07652685798381163,0.04231052244297277,1 days 21:18:00
2521,Yannick GENDRY,M,0.04047093451066961,0.02097130242825607,0.039367181751287714,0.051508462104488596,0.03826342899190582,0.01692420897718911,0.07027225901398086,0.03789551140544518,0.027225901398086828,0.01545253863134658,0.049300956585724795,0.04047093451066961,0.03642384105960265,0.03568800588668138,0.04083885209713024,0.04304635761589404,0.07247976453274467,0.0908756438557763,0.030537159676232523,0.04194260485651214,0.044885945548197206,0.0772626931567329,0.03789551140544518,1 days 21:18:00
