Doss.,Prénom Nom,genre,Col  Voza,St-Gervais,Contamines,La Balme,Bonhomme,Chapieux,Col Seigne,Lac Combal,Mt-Favre,Checrouit ,Courmayeur,Bertone,Arnouvaz,Col Ferret,La Fouly,Champex,Plan l'Au,La Giète,Trient,Tseppes,Vallorcine,T.auxVents,La Flégère,Chamonix,Total
823,Tom ENGLUND,M,0.05520046484601976,0.028471818710052294,0.04241719930273097,0.044160371876815804,0.04299825682742592,0.018593840790238233,0.06914584543869844,0.039511911679256245,0.03253922138291691,0.01801278326554329,0.03428239395700174,0.0453224869262057,0.06275421266705404,0.04241719930273097,0.041836141778036025,0.07321324811156305,0.027309703660662404,0.0505520046484602,0.024985473561882625,0.0389308541545613,0.04299825682742592,0.06507844276583381,0.02672864613596746,0.03253922138291691,1 days 04:41:00
607,Joe LAUE,M,0.05516840882694541,0.028455284552845527,0.04355400696864112,0.04819976771196283,0.04645760743321719,0.02032520325203252,0.06852497096399536,0.04355400696864112,0.03426248548199768,0.02032520325203252,0.03193960511033682,0.04123112659698026,0.06329849012775841,0.04065040650406504,0.0429732868757259,0.07200929152148665,0.026713124274099883,0.052845528455284556,0.02497096399535424,0.036004645760743324,0.04065040650406504,0.0586527293844367,0.023809523809523808,0.03542392566782811,1 days 04:42:00
155,Alex DOCTA,M,0.046430644225188625,0.026697620429483458,0.038305281485780614,0.04236796285548462,0.03946604759141033,0.017411491584445733,0.06094022054556007,0.035983749274521186,0.034822983168891465,0.016831108531630876,0.02959953569355775,0.08357515960533952,0.0632617527568195,0.0481717933836332,0.05571677307022635,0.0771909460243761,0.03656413232733604,0.053395240858966915,0.020313406848520024,0.035403366221706326,0.04004643064422519,0.05629715612304121,0.017991874637260593,0.023215322112594312,1 days 04:43:00
584,Marijn SINKELDAM,M,0.048723897911832945,0.025522041763341066,0.037703016241299306,0.042923433874709975,,,0.06728538283062645,0.040023201856148494,0.029582366589327145,0.017981438515081206,0.027262180974477957,0.043503480278422275,0.06496519721577726,0.04234338747099768,0.04524361948955916,0.07250580046403712,0.025522041763341066,0.05626450116009281,0.027262180974477957,0.0382830626450116,0.048723897911832945,0.06670533642691415,0.031322505800464036,0.04060324825986079,1 days 04:44:00
160,Masatoshi OBARA,M,0.042898550724637684,0.022608695652173914,0.03304347826086956,0.03536231884057971,0.03768115942028986,0.015072463768115942,0.057391304347826085,0.03536231884057971,0.028985507246376812,0.017971014492753623,0.023768115942028985,0.03768115942028986,0.06898550724637681,0.07420289855072464,0.04695652173913043,0.07072463768115941,0.04057971014492753,0.059130434782608696,0.024927536231884057,0.0463768115942029,0.06260869565217392,0.06028985507246377,0.025507246376811593,0.03188405797101449,1 days 04:45:00
406,Fabien MASSON,M,0.05330243337195829,0.028968713789107765,0.04171494785631518,0.04519119351100811,0.04171494785631518,0.016801853997682505,0.0660486674391657,0.038238702201622246,0.03070683661645423,0.01853997682502897,0.02954808806488992,0.041135573580533026,0.058516801853997685,0.043453070683661645,0.04055619930475087,0.07531865585168018,0.034183082271147164,0.05504055619930475,0.027230590961761298,0.04171494785631518,0.047508690614136734,0.06431054461181923,0.02549246813441483,0.03476245654692932,1 days 04:46:00
499,Oscar MONJE PUIGDENGOLAS,M,0.05037637521713955,0.026635784597568036,0.03937463810075275,0.0451650260567458,0.04226983207874928,0.01679212507237985,0.06948465547191662,0.03532136653155762,0.03242617255356109,0.017371163867979156,0.03184713375796178,0.04400694846554719,0.06427330631152287,0.04863925883034163,0.045744064852345105,0.07180081065431385,0.027793862188766647,0.05790387955993052,0.024319629415170817,0.04111175448755067,0.0451650260567458,0.06485234510712218,0.0225825130283729,0.03474232773595831,1 days 04:47:00
611,Marc BRIGGELER,M,0.05378831694621168,0.027761711972238288,0.04164256795835743,0.04337767495662233,0.04395604395604396,0.01735106998264893,0.06998264893001735,0.0410641989589358,0.03296703296703297,0.01850780798149219,0.03412377096587623,0.042220936957779065,0.06246385193753615,0.04800462695199537,0.042799305957200696,0.07229612492770388,0.029496818970503182,0.055523423944476576,0.024869866975130134,0.038172353961827644,0.038750722961249276,0.0653556969346443,0.022556390977443608,0.03296703296703297,1 days 04:49:00
168,Jimmy PELLEGRINI,M,0.045112781954887216,0.024291497975708502,0.035280508964719494,0.03759398496240601,0.038172353961827644,0.0167727009832273,0.06246385193753615,0.03759398496240601,0.029496818970503182,0.017929438982070563,0.027183342972816656,0.0410641989589358,0.0670908039329092,0.04684788895315211,0.03932909196067091,0.06766917293233082,0.030653556969346442,0.0578368999421631,0.027761711972238288,0.045112781954887216,0.05320994794679005,0.07403123192596876,0.03007518796992481,0.04742625795257374,1 days 04:49:00
393,Iván MONTES LOMBAO,M,0.05202312138728324,0.027745664739884393,0.041040462427745665,0.042196531791907514,0.04161849710982659,0.017919075144508672,0.06705202312138728,0.03815028901734104,0.03121387283236994,0.018497109826589597,0.03121387283236994,0.04393063583815029,0.06473988439306358,0.048554913294797684,0.047398843930635835,0.07803468208092486,0.031791907514450865,0.056647398843930635,0.021965317919075144,0.03930635838150289,0.03930635838150289,0.06994219653179191,0.02023121387283237,0.029479768786127167,1 days 04:50:00
