Doss.,Prénom Nom,genre,Col de Voza,St-Gervais,Les Contamines,La Balme,Bonhomme,Chapieux,Col Seigne,Lac Combal,Mt-Favre,Checrouit,Courmayeur Sortie,Bertone,Bonatti,Arnouvaz,Col Ferret,La Fouly,Champex-Lac,La Giète,Trient,Tseppes,Vallorcine,La Flégère,Chamonix,Total
1970,Helen SMITH,W,0.05544689760659972,0.029550782964105266,0.038558944847732604,0.04311630997605346,0.04238286882060155,0.029926906633567785,0.057803939268564836,0.019589774451172878,0.029337646218076503,0.019232456965183487,0.042602274294454685,0.03424606010456238,0.0410225548827121,0.03005228119005529,0.0322087235616404,0.05419942076954903,0.08456513835082309,0.07059841275811486,0.04204435751808528,0.032929627261443564,0.058875891726533014,0.0736387457529369,0.038069984077431326,1 days 20:18:42
1615,Hyunsook KIM,W,0.05601594724370949,0.029750636259920013,0.03795619522836403,0.045259080024572795,0.04960946804909545,0.028954527788573648,0.07122349961761719,0.017088123566064466,0.031054498953148702,0.014204581071424093,0.038112909494377095,0.033963115730351164,0.03532339555934456,0.02920527061419455,0.03650815541040332,0.052430324837330594,0.0798427842483357,0.07345511076564322,0.04687637124982762,0.03193209884282186,0.04760979401476875,0.07509747627346013,0.03852663515665158,1 days 20:18:46
1040,Andrea VERCELLINO,M,0.05976143041511609,0.026901727875302286,0.04020849778846997,0.04818378879574985,0.04051548071019559,0.031650565725670037,0.06318209725720157,0.015831547820421257,0.025999573982884137,0.014140009272137228,0.041204626044681676,0.0337180017291283,0.037270232680524755,0.029401445952210902,0.033129095716022,0.04814619905023243,0.0963989023794309,0.07410191833001291,0.05904722525028506,0.030535403275319825,0.04590334423435953,0.07667681589795637,0.02809206981668734,1 days 20:20:18
1292,Neil MARSHALL,M,0.05078056481319067,0.024212544165184053,0.03305184554088255,0.04246748690705891,0.03904703435487508,0.03062119427669331,0.06119853659758939,0.022070062896233745,0.031999398601749066,0.02284686897035608,0.04133360062144486,0.03328363445009647,0.04509860425489263,0.02975668429097652,0.03784423785300824,0.05423860475605784,0.08146440474102287,0.08160222517352846,0.04789886486080136,0.03661011852557196,0.05450171649084121,0.06745057258125141,0.03062119427669331,1 days 20:20:28
1945,Anthony MARTIN,M,0.05084268079589651,0.025628017962159216,0.03618109964990073,0.04336471074535445,0.04300145926886246,0.03403290557340498,0.0617715398731125,0.01816883678109088,0.03331266557691224,0.017292022872317105,0.03370096887936919,0.040176865891312655,0.03150267115094352,0.04226869335938723,0.03565501130463647,0.04914541958677013,0.07599471406472139,0.07928902917911429,0.04950867106326212,0.03268636992778811,0.0546818731250274,0.0789257777026223,0.03286799566603411,1 days 20:21:09
1389,Giacomo STOPPONI,M,0.049489946082698244,0.023927759582688852,0.03952683027634966,0.05037291234837716,0.04695376638340775,0.028843564678844504,0.07142633493853678,0.01676383470370533,0.030715954135851563,0.018492194202481074,0.03360907764467183,0.04498744434494549,0.043628552999893544,0.03275116006738097,0.04384772902328902,0.0544996837603091,0.08112017734471379,0.08157105373569877,0.040065377076692825,0.033245871663045046,0.04156829837997608,0.0704682226076937,0.022124254018748943,1 days 20:21:29
1833,RafaÅ BIAÅKA,M,0.04906359307440571,0.025242001589357563,0.0342525326475318,0.04569090124082521,0.04163616226464681,0.03215007540062448,0.06128412582205452,0.019516559979476013,0.028671009242051647,0.019710536689756152,0.03900183339277781,0.03443399473134225,0.03796311939579383,0.029834869503732486,0.03632996064149975,0.05682891879884615,0.08091957475299257,0.07518787582987617,0.042468384924880954,0.03455914099603912,0.06039558734270679,0.0787107431810929,0.0361484985576893,1 days 20:23:33
2202,Matthieu LABONNE,M,0.054686522337629835,0.026004254786634963,0.03720435489926167,0.042866975347265676,0.04307971467901389,0.025935427355775247,0.06354648980102616,0.01842698035289701,0.03015267175572519,0.01606807658615943,0.04464397447128019,0.033794268552121136,0.03931297709923664,0.024546364660242775,0.04024527593542736,0.054323614065824054,0.09491302715555,0.07106119384307345,0.047540983606557376,0.029977474658991365,0.05411087473407584,0.08477036666249531,0.02278813665373545,1 days 20:23:40
1947,Sylvain LAMBERT,M,0.048716392509213315,0.025252936060516946,0.03647785362557329,0.04274103226694531,0.04235936004204651,0.02811860620811773,0.06485925054591642,0.018852105141312577,0.03298023438428762,0.0164056487489285,0.04459308109596241,0.03296146361912866,0.04188383399135293,0.02669202805603699,0.03761661337855002,0.05429130976142357,0.09492375940884604,0.07110365842212948,0.047515063539040066,0.030008196567452745,0.05392840830168374,0.08510664923071147,0.02261251509482365,1 days 20:23:43
1420,Marina KOROBKO,W,0.04074303483053976,0.020421570283612064,0.033560448223436005,0.050134204253242484,,,0.053143632962316445,0.017405884965995332,0.02889301825052712,0.015941838566986378,0.04763781744467594,0.032202764169654195,0.03295981380332977,0.02290544387509307,0.03862204453453961,0.053575338951767804,0.08918169816869068,0.07445364165900233,0.06775281390969211,0.03212768486714092,0.07409701497206424,0.07063085383936783,0.029093229723895865,1 days 20:23:51
619,Kenny GARNER,M,0.04932247288014714,0.02319732742764911,0.031624188281220676,0.03370744341428625,0.040488970634235455,0.02786431940742965,0.04770216333220725,0.015890294408368054,0.02559963965316617,0.015627541508702127,0.031261339038824866,0.03288790460818538,0.039375398821365565,0.022527933135643056,0.03393891620684909,0.05500919635148831,0.07921999924927743,0.07194424633709946,0.023973074083805664,0.02532437471065901,0.11737547389362261,0.084981794977666,0.07115598763810167,1 days 20:24:06
2256,Hubert MAIER,M,0.05015887710168135,0.025870696557245797,0.03701085868694956,0.04437299839871898,0.03995696557245797,0.02844775820656525,0.05697057646116894,0.01945931745396317,0.030549439551641314,0.019515612489991993,0.04282175740592474,0.03312024619695757,0.04895166132906325,0.028672938350680546,0.03517188751000801,0.062493744995996796,0.080564451561249,0.07352131705364291,0.0451548738991193,0.03312650120096077,0.054118294635708566,0.07662379903923139,0.033345426341072855,1 days 20:24:32
1268,Francisco FERRER,M,0.05266581600740574,0.026695689159098302,0.04060021516675424,0.041676048937926896,0.04028747279141334,0.030655007630913958,0.056581350546673674,0.02652680827641422,0.025945107458280166,0.017532337561610246,0.04417173309314719,0.03187470289474342,0.040712802421876956,0.03044859766318897,0.034733168205359155,0.05612474667867597,0.07884860767094498,0.07214341114363632,0.046154519752808425,0.034558032475168254,0.06049063023843479,0.07957416998173585,0.030999024243788937,1 days 20:24:36
2112,Max NAUGHTON,M,0.04289502320171105,0.022813973558804768,0.04038723718277445,0.05973033483008343,0.044996310240022014,0.02946179534965166,0.0591674900876787,0.020162349439031408,0.03637853185075859,0.019186751885529887,0.03402709159360108,0.03697264574551913,0.04897374641968206,0.02599091943815587,0.03540918812772823,0.058279446160773477,0.0796738002026241,0.07724106014934147,0.039067678953358935,0.03310777851434003,0.05279483683756301,0.07390151467774012,0.029380495553526537,1 days 20:25:02
1603,Pierre COCHOU,M,0.05377587964207775,0.025093326163216047,0.03858106713856043,0.044890353482613506,0.04905485765024418,0.02448053125566679,0.06059165973624807,0.01739587176328608,0.028988950932636332,0.017796064355971312,0.028582505330690396,0.04328958311187259,0.03838097084221782,0.02826985486765506,0.03624869468431683,0.04701637663125379,0.08479080557518305,0.07573019515641903,0.048073135196313226,0.03552334561007485,0.05519531274425817,0.07853154330521564,0.039719114824009055,1 days 20:25:23
2321,Anthony NAVARRO,M,0.055709783913565424,0.027273409363745497,0.039640856342537015,0.04838185274109644,0.04608093237294918,0.029411764705882353,0.06925895358143257,0.017444477791116447,0.032994447779111646,0.015906362545018007,0.044255202080832334,0.038815526210484196,0.038971838735494195,0.026641906762705083,0.03713360344137655,0.05938625450180072,0.09094887955182072,0.0738545418167267,0.03985344137655062,0.034695128051220485,0.03981592637054822,0.06787089835934373,0.02565401160464186,1 days 20:25:36
2159,Stuart HILL,M,0.0557687979795454,0.02869395614013153,0.03752719361856418,0.04678552674351729,0.044716311170013255,0.03167587707234128,0.06208271861168763,0.020267060088519917,0.031575854567277635,0.017585206671501086,0.03922757620464604,0.036051861668875494,0.03710834937861019,0.029194068665449727,0.03929009027031082,0.06301417819009276,0.07550448850991473,0.07120977219874472,0.04305343702333025,0.031207021579855467,0.047373158960766173,0.07519191818159086,0.03589557650471356,1 days 20:26:04
1496,Vitor MARTINS,M,0.0553375,0.0303375,0.03990625,0.04851875,0.0439875,0.03301875,0.06281875,0.02038125,0.0330875,0.0180875,0.0442,0.03410625,0.0396625,0.03113125,0.03754375,0.052125,0.0774125,0.07030625,0.03860625,0.032625,0.0512,0.07370625,0.03189375,1 days 20:26:40
1687,Edgar ZUNIGA,M,0.04603652443289697,0.023108823823323674,0.03367642650144899,0.04841610872389328,0.041189917058059355,0.032339862096532425,0.06147571699810133,0.019099130608574,0.028929749175577096,0.018156040771459978,0.04632382332367343,0.03390126911162186,0.05224467872489257,0.03199635255321275,0.038416858199260516,0.0539559808134306,0.08728265214349955,0.07119391426001799,0.043450834415908864,0.032314879584290995,0.05470545618067353,0.07040696512441291,0.03137803537523733,1 days 20:28:32
1083,David ESTEVE GASPAR,M,0.05009271804349319,0.025230546380874484,0.03680625362911534,0.04645267633598272,0.03983441868596367,0.0341839251262776,0.05867772207064054,0.0188994961383091,0.029413784706829916,0.018787110631044622,0.04748912045853287,0.034258848797787254,0.0374992975905796,0.033728139457927235,0.03382803768660677,0.05490656393798817,0.09264936346097413,0.0728382959859643,0.03910391288874459,0.030999669087117498,0.05692325942945624,0.07210154654945275,0.03529529292033741,1 days 20:29:23
1679,Viswabharath ALLAMSETTI,M,0.05003652072941573,0.024253510047882735,0.038118901506402056,0.043662560945918104,0.04025395953378324,0.02740615421112103,0.057721481056042155,0.01693063558554903,0.029716012310919387,0.01848510765811603,0.03954851638438536,0.03487885730695517,0.035215971732331146,0.036058757795771085,0.033830056872452136,0.05553023729109831,0.07276053014364821,0.07327868750117053,0.05920103881185894,0.02974722660956531,0.05119144977931491,0.08303627725788629,0.04913754892841313,1 days 20:29:43
