year,bib,race_name,distance,elevationGain,gender,indexCategory,rank,time,race_year,countryCode
2024,7023,altore trails origins : acqua e rocca di u cavu - giru di u cavu,30000.0,2000,FEMALE,50K,20,05:36:33,2024,FR
2024,7023,trail napoléon - trail napoléon classic,25000.0,1500,FEMALE,20K,139,03:59:24,2024,FR
2024,7023,trail napoléon - grand trail napoléon,63000.0,3000,FEMALE,50K,46,11:11:38,2023,FR
2024,7023,restonica trail by UTMB - tavignanu trail,32500.0,2270,FEMALE,50K,249,06:49:34,2022,FR
2024,7023,trail napoléon - trail napoléon impérial,43000.0,1700,FEMALE,50K,108,07:13:48,2022,FR
2024,7024,trail du tour des fiz - tour des 5 refuges,37900.0,2330,FEMALE,50K,698,08:41:52,2024,FR
2024,7024,trails de la vallée du brevon - trail des 20 ans,20000.0,1518,FEMALE,20K,296,05:20:07,2023,FR
2024,7024,trail du tour des fiz - duo des fiz,24500.0,1440,FEMALE,20K,187,05:57:24,2022,FR
2024,7024,trail des reculees - l'ermitage,22300.0,740,FEMALE,20K,465,04:11:12,2019,FR
2024,7026,le grand raid de la réunion - la mascareignes,72000.0,4007,MALE,100K,31,11:05:26,2023,FR
2024,7026,ultra tour des 4 massifs - ut4m20 vercors,20000.0,1900,MALE,20K,1,02:18:38,2023,FR
2024,7026,trail des mélèzes du mercantour - 25km,26400.0,1710,MALE,20K,4,02:50:30,2022,FR
2024,7026,le grand raid de la réunion - zembrocal trail relais1,44000.0,3815,MALE,50K,7,08:04:40,2019,FR
2024,7026,cimasa - cimasarun,52000.0,3699,MALE,50K,37,08:03:00,2019,FR
2024,7028,le grand raid de la réunion - la mascareignes,74100.0,4000,MALE,100K,548,16:38:50,2022,FR
2024,7028,trail des anglais - trail des anglais,28000.0,1260,MALE,20K,436,04:04:13,2020,FR
2024,7036,mauritius by UTMB - bel ombre,59100.0,1790,MALE,50K,106,09:04:06,2024,MU
2024,7036,mafate trail tour - mafate trail tour,53900.0,3560,MALE,50K,489,13:38:28,2023,FR
2024,7036,le grand raid de la réunion - zembrocal trail relais1,37200.0,2720,MALE,50K,173,09:44:09,2023,FR
2024,7036,le grand raid de la réunion - trail de bourbon,109200.0,5960,MALE,100K,709,38:31:20,2022,FR
2024,7036,restonica trail by UTMB - restonica trail,66800.0,3900,MALE,100K,257,17:57:32,2022,FR
2024,7036,le grand raid de la réunion - la mascareignes,72000.0,3874,MALE,100K,738,19:51:37,2021,FR
2024,7038,x trail corrèze dordogne - les balcons de la dordogne,27000.0,980,MALE,20K,82,02:47:51,2024,FR
2024,7038,l'ultra marin raid golfe du morbihan - trail 56 km,59400.0,600,MALE,50K,184,06:13:47,2023,FR
2024,7038,la asics saintélyon - la saintexpress,45900.0,1000,MALE,50K,483,05:12:18,2021,FR
2024,7038,trail du loup blanc - le grand méchant loup,58100.0,1900,MALE,50K,145,08:45:00,2019,FR
2024,7038,x trail corrèze dordogne - les balcons de la dordogne,25800.0,790,MALE,20K,133,03:13:59,2019,FR
2024,7045,le grand raid de la réunion - trail de bourbon,109000.0,6328,MALE,100M,834,38:30:31,2023,FR
2024,7045,le grand raid de la réunion - la mascareignes,74100.0,4000,MALE,100K,842,18:48:48,2022,FR
2024,7047,scarpa trail de la vallée des lacs - trail court de la vallee des lacs,24600.0,1406,FEMALE,20K,467,04:03:15,2024,FR
2024,7047,ultra trail des montagnes du jura - la cmm,43500.0,1130,FEMALE,50K,772,06:03:57,2023,FR
2024,7047,trail de la vallée des lacs -  la géromée,18000.0,820,FEMALE,20K,40,01:56:10,2022,FR
2024,7051,xterra moorea - xterra iti trail rotui,13000.0,650,MALE,,43,01:54:52,2019,PF
2024,7053,trail du laudon - trail des charmettes,14000.0,400,FEMALE,,205,01:41:00,2022,FR
2024,7054,uttn ultra trail tour de nancy - uttn mirabelle 28km ,27000.0,710,MALE,20K,106,03:05:04,2023,FR
2024,7055,millet xtrail courchevel - xt 33km,33300.0,2170,FEMALE,50K,185,06:51:25,2024,FR
2024,7055,the longest day trail - 25km,25000.0,1080,FEMALE,20K,49,02:46:38,2024,BE
2024,7059,black mountain trail ® - black race,40000.0,2300,MALE,50K,801,08:06:41,2024,FR
2024,7059,grand raid des pyrénées - tour du moudang,60000.0,3800,MALE,50K,892,17:21:55,2022,FR
2024,7059,grands trails d'auvergne - x ultra-trail 78km (solo),79700.0,2940,MALE,100K,144,15:30:30,2021,FR
2024,7059,fest'trail des 7 collines - la montaigut,25000.0,1200,MALE,20K,83,04:11:46,2021,FR
2024,7060,UTMB® - mcc,38900.0,2410,FEMALE,50K,918,09:30:49,2019,FR
2024,7060,swiss canyon trail - swiss canyon trail k45,51500.0,2550,FEMALE,50K,296,08:00:04,2019,CH
2024,7060,trail'n loue - trail des sources,18100.0,1030,FEMALE,20K,441,03:21:11,2019,FR
2024,7063,la asics saintélyon - la saintexpress,44000.0,974,FEMALE,50K,3226,08:10:55,2023,FR
2024,7063,marathon du mont-blanc - 10 km du mont-blanc,9800.0,270,FEMALE,,1482,01:27:38,2023,FR
2024,7063,le trail des hobbits - la semi-comtoise,21300.0,500,FEMALE,20K,1052,03:29:37,2023,FR
2024,7063,trail alsace grand est by UTMB - trail des celtes,49600.0,2020,FEMALE,50K,1434,09:35:40,2023,FR
