bib,name,status,category,sex,country,Départ,P7,Peyreleau,St André,La Roque,Pierrefich,La Salvage,Mas de Bru,Massebiau,Cade,la pouncho,Arrivée
43,Yann BLANCHARD,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:02:36.000+00:00,2023-10-22T07:10:34.000+00:00,2023-10-22T08:19:08.000+00:00,2023-10-22T09:20:38.000+00:00,,2023-10-22T10:20:40.000+00:00,2023-10-22T11:17:34.000+00:00,2023-10-22T11:43:39.000+00:00,2023-10-22T12:14:43.000+00:00,2023-10-22T12:52:28.000+00:00,2023-10-22T13:11:25.000+00:00,
48,Romain BIDAU,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:02:36.000+00:00,2023-10-22T07:10:34.000+00:00,2023-10-22T08:20:09.000+00:00,2023-10-22T09:22:34.000+00:00,2023-10-22T09:46:36.000+00:00,2023-10-22T10:25:49.000+00:00,2023-10-22T11:22:17.000+00:00,2023-10-22T11:49:14.000+00:00,2023-10-22T12:19:32.000+00:00,2023-10-22T12:55:48.000+00:00,2023-10-22T13:12:02.000+00:00,
47,Paul CORNUT-CHAUVINC,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:02:22.000+00:00,2023-10-22T07:08:00.000+00:00,2023-10-22T08:18:11.000+00:00,2023-10-22T09:18:34.000+00:00,,2023-10-22T10:21:15.000+00:00,2023-10-22T11:18:40.000+00:00,2023-10-22T11:44:12.000+00:00,2023-10-22T12:17:13.000+00:00,2023-10-22T12:56:38.000+00:00,2023-10-22T13:21:30.000+00:00,
49,Guillaume LACASSAGNE,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:04:15.000+00:00,2023-10-22T07:12:03.000+00:00,2023-10-22T08:23:20.000+00:00,2023-10-22T09:25:00.000+00:00,2023-10-22T09:48:04.000+00:00,2023-10-22T10:26:40.000+00:00,2023-10-22T11:25:09.000+00:00,2023-10-22T11:51:32.000+00:00,2023-10-22T12:25:16.000+00:00,2023-10-22T13:01:50.000+00:00,2023-10-22T14:22:02.000+00:00,
191,Virgile VANDEWALLE,FINISHER,S-M0H,MALE,BE,2023-10-22T05:18:53.000+00:00,2023-10-22T06:04:44.000+00:00,2023-10-22T07:13:35.000+00:00,2023-10-22T08:27:24.000+00:00,2023-10-22T09:31:43.000+00:00,2023-10-22T09:54:32.000+00:00,2023-10-22T10:31:32.000+00:00,2023-10-22T11:27:52.000+00:00,2023-10-22T11:52:50.000+00:00,2023-10-22T12:24:04.000+00:00,2023-10-22T13:01:51.000+00:00,2023-10-22T13:17:23.000+00:00,
15,Julie ROUX,FINISHER,S-M0F,FEMALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:05:48.000+00:00,2023-10-22T07:16:10.000+00:00,2023-10-22T08:29:10.000+00:00,2023-10-22T09:31:44.000+00:00,2023-10-22T09:53:56.000+00:00,2023-10-22T10:32:06.000+00:00,2023-10-22T11:27:08.000+00:00,2023-10-22T11:52:53.000+00:00,2023-10-22T12:23:56.000+00:00,2023-10-22T12:59:43.000+00:00,2023-10-22T13:28:29.000+00:00,
76,Régis RAUZY,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:05:01.000+00:00,2023-10-22T07:13:29.000+00:00,2023-10-22T08:25:28.000+00:00,2023-10-22T09:27:02.000+00:00,2023-10-22T09:50:55.000+00:00,2023-10-22T10:30:25.000+00:00,2023-10-22T11:27:35.000+00:00,2023-10-22T11:53:01.000+00:00,2023-10-22T12:25:26.000+00:00,2023-10-22T13:02:58.000+00:00,2023-10-22T13:25:36.000+00:00,
203,Maxime BOURDET,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:01:53.000+00:00,2023-10-22T07:06:13.000+00:00,2023-10-22T08:20:35.000+00:00,2023-10-22T09:22:33.000+00:00,2023-10-22T09:46:35.000+00:00,2023-10-22T10:25:34.000+00:00,,2023-10-22T11:55:30.000+00:00,2023-10-22T12:28:06.000+00:00,2023-10-22T13:04:46.000+00:00,2023-10-22T13:21:09.000+00:00,
158,Adeline MARTIN,FINISHER,M1-M2F,FEMALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:04:54.000+00:00,2023-10-22T07:16:10.000+00:00,2023-10-22T08:29:10.000+00:00,2023-10-22T09:31:44.000+00:00,2023-10-22T09:55:24.000+00:00,2023-10-22T10:34:38.000+00:00,2023-10-22T11:30:28.000+00:00,2023-10-22T11:56:00.000+00:00,2023-10-22T12:29:14.000+00:00,2023-10-22T13:05:22.000+00:00,2023-10-22T13:22:59.000+00:00,
54,Thomas DEBRAY,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:05:36.000+00:00,2023-10-22T07:16:38.000+00:00,2023-10-22T08:29:08.000+00:00,2023-10-22T09:31:50.000+00:00,2023-10-22T09:53:57.000+00:00,2023-10-22T10:31:38.000+00:00,2023-10-22T11:30:32.000+00:00,2023-10-22T11:57:29.000+00:00,2023-10-22T12:29:47.000+00:00,2023-10-22T13:08:49.000+00:00,2023-10-22T13:24:54.000+00:00,
29,Arthur JOYEUX BOUILLON,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:03:49.000+00:00,2023-10-22T07:13:33.000+00:00,2023-10-22T08:29:12.000+00:00,2023-10-22T09:34:34.000+00:00,2023-10-22T09:58:49.000+00:00,2023-10-22T10:38:43.000+00:00,2023-10-22T11:37:05.000+00:00,2023-10-22T12:02:47.000+00:00,2023-10-22T12:35:17.000+00:00,2023-10-22T13:09:22.000+00:00,2023-10-22T13:25:11.000+00:00,
21,Jared HAZEN,FINISHER,S-M0H,MALE,US,2023-10-22T05:18:53.000+00:00,2023-10-22T06:00:14.000+00:00,2023-10-22T07:00:24.000+00:00,2023-10-22T08:03:45.000+00:00,2023-10-22T08:59:12.000+00:00,2023-10-22T09:21:00.000+00:00,2023-10-22T10:00:31.000+00:00,2023-10-22T11:00:42.000+00:00,2023-10-22T11:31:04.000+00:00,2023-10-22T12:08:05.000+00:00,2023-10-22T12:57:31.000+00:00,2023-10-22T13:26:22.000+00:00,
