bib,name,segment_time,rank,sex,year,secteur,end_checkpoint,start_checkpoint,filtrer_valeur_aberrante
3365,Noël GIORDANO,00:12:17,5,MALE,2022,Merles → Sen. Scout,Sen. Scout,Merles,False
4276,Loïc BOYER,00:12:17,6,MALE,2022,Merles → Sen. Scout,Sen. Scout,Merles,False
3643,Moritz AUF DER HEIDE,00:12:21,7,MALE,2024,Merles → Sen. Scout,Sen. Scout,Merles,False
3921,Orlan AYADEN,00:12:33,8,MALE,2024,Merles → Sen. Scout,Sen. Scout,Merles,False
4457,Matis FUGIER,00:12:35,9,MALE,2024,Merles → Sen. Scout,Sen. Scout,Merles,False
3393,Matis FUGIER,00:12:42,10,MALE,2023,Merles → Sen. Scout,Sen. Scout,Merles,False
4204,Paolo VELLE,00:12:46,11,MALE,2024,Merles → Sen. Scout,Sen. Scout,Merles,False
3968,Nicolas MARCY,00:12:48,12,MALE,2025,Merles → Sen. Scout,Sen. Scout,Merles,False
3845,Axelle HENRY,00:13:13,1,FEMALE,2023,Merles → Sen. Scout,Sen. Scout,Merles,False
3285,Laure REBUFFET,00:14:35,2,FEMALE,2024,Merles → Sen. Scout,Sen. Scout,Merles,False
3394,Amélie HUCHET,00:15:07,3,FEMALE,2022,Merles → Sen. Scout,Sen. Scout,Merles,False
4004,Morgane SATGE,00:15:47,4,FEMALE,2025,Merles → Sen. Scout,Sen. Scout,Merles,False
3304,Melanie HAUSS,00:15:48,5,FEMALE,2024,Merles → Sen. Scout,Sen. Scout,Merles,False
4073,Maëlys DEVOS,00:15:49,6,FEMALE,2025,Merles → Sen. Scout,Sen. Scout,Merles,False
3507,Claire JACQUET,00:15:54,7,FEMALE,2025,Merles → Sen. Scout,Sen. Scout,Merles,False
4527,Margaux BEYRE,00:15:57,8,FEMALE,2024,Merles → Sen. Scout,Sen. Scout,Merles,False
3462,Agathe GEANDREAU,00:16:06,9,FEMALE,2025,Merles → Sen. Scout,Sen. Scout,Merles,False
3294,Camille ANCIAUX,00:16:13,10,FEMALE,2023,Merles → Sen. Scout,Sen. Scout,Merles,False
4034,Pauline DURAND,00:16:29,11,FEMALE,2025,Merles → Sen. Scout,Sen. Scout,Merles,False
3013,Hortense BEGUE,00:16:37,12,FEMALE,2022,Merles → Sen. Scout,Sen. Scout,Merles,False
3759,Alexandre DEPECHE,00:52:48,1,MALE,2024,Sen. Scout → Aurère,Aurère,Sen. Scout,False
4160,Rivosoa Hobilalaina ANDRIANIRINA,00:55:54,2,MALE,2024,Sen. Scout → Aurère,Aurère,Sen. Scout,False
4457,Matis FUGIER,00:58:04,3,MALE,2024,Sen. Scout → Aurère,Aurère,Sen. Scout,False
3921,Orlan AYADEN,00:58:21,4,MALE,2024,Sen. Scout → Aurère,Aurère,Sen. Scout,False
3393,Matis FUGIER,00:58:33,5,MALE,2023,Sen. Scout → Aurère,Aurère,Sen. Scout,False
4398,Nicolas MARCY,00:58:39,6,MALE,2024,Sen. Scout → Aurère,Aurère,Sen. Scout,False
3365,Noël GIORDANO,00:58:55,7,MALE,2022,Sen. Scout → Aurère,Aurère,Sen. Scout,False
4152,Emmanuel HADOUX,00:58:56,8,MALE,2024,Sen. Scout → Aurère,Aurère,Sen. Scout,False
4276,Loïc BOYER,00:58:59,9,MALE,2022,Sen. Scout → Aurère,Aurère,Sen. Scout,False
3172,Jean Charles BRETON,00:59:17,10,MALE,2024,Sen. Scout → Aurère,Aurère,Sen. Scout,False
4204,Paolo VELLE,00:59:24,11,MALE,2024,Sen. Scout → Aurère,Aurère,Sen. Scout,False
4609,Ludovic JASMIN,00:59:26,12,MALE,2024,Sen. Scout → Aurère,Aurère,Sen. Scout,False
3845,Axelle HENRY,01:04:43,1,FEMALE,2023,Sen. Scout → Aurère,Aurère,Sen. Scout,False
3285,Laure REBUFFET,01:07:36,2,FEMALE,2024,Sen. Scout → Aurère,Aurère,Sen. Scout,False
4081,Victoria DEVOUGE,01:07:56,3,FEMALE,2022,Sen. Scout → Aurère,Aurère,Sen. Scout,False
4094,Morgane LEFEUVRE,01:12:54,4,FEMALE,2025,Sen. Scout → Aurère,Aurère,Sen. Scout,False
4073,Maëlys DEVOS,01:13:02,5,FEMALE,2025,Sen. Scout → Aurère,Aurère,Sen. Scout,False
3294,Camille ANCIAUX,01:13:04,6,FEMALE,2023,Sen. Scout → Aurère,Aurère,Sen. Scout,False
4298,Claire DAUCHEZ,01:13:08,7,FEMALE,2023,Sen. Scout → Aurère,Aurère,Sen. Scout,False
3394,Amélie HUCHET,01:13:16,8,FEMALE,2022,Sen. Scout → Aurère,Aurère,Sen. Scout,False
3750,Lucie CUISSET,01:13:37,9,FEMALE,2025,Sen. Scout → Aurère,Aurère,Sen. Scout,False
4004,Morgane SATGE,01:14:20,10,FEMALE,2025,Sen. Scout → Aurère,Aurère,Sen. Scout,False
3852,Chloé MERIEL,01:14:37,11,FEMALE,2023,Sen. Scout → Aurère,Aurère,Sen. Scout,False
4259,Camille PELTIER,01:14:45,12,FEMALE,2024,Sen. Scout → Aurère,Aurère,Sen. Scout,False
4160,Rivosoa Hobilalaina ANDRIANIRINA,00:37:20,1,MALE,2024,Aurère → Deux Bras,Deux Bras,Aurère,False
3393,Matis FUGIER,00:39:04,2,MALE,2023,Aurère → Deux Bras,Deux Bras,Aurère,False
3304,Emmanuel HADOUX,00:39:34,3,MALE,2022,Aurère → Deux Bras,Deux Bras,Aurère,False
3759,Alexandre DEPECHE,00:39:42,4,MALE,2024,Aurère → Deux Bras,Deux Bras,Aurère,False
4204,Paolo VELLE,00:39:50,5,MALE,2024,Aurère → Deux Bras,Deux Bras,Aurère,False
4457,Matis FUGIER,00:39:56,6,MALE,2024,Aurère → Deux Bras,Deux Bras,Aurère,False
