bib,name,status,category,sex,country,Départ,P7,Cresse,Rozier,Truel,St André,La Roque,La Salvage,Mas de Bru,Massebiau,Cade,Arrivée,MassebiauD
4227,Bruno SIMOES,FINISHER,M1-M2H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:33:21.000+00:00,2023-10-20T06:51:33.000+00:00,2023-10-20T08:56:12.000+00:00,2023-10-20T11:41:34.000+00:00,2023-10-20T15:06:01.000+00:00,2023-10-20T17:42:09.000+00:00,2023-10-20T19:57:57.000+00:00,2023-10-20T22:35:21.000+00:00,2023-10-20T23:52:32.000+00:00,,2023-10-21T01:30:10.000+00:00,2023-10-21T00:01:48.000+00:00
3472,Fanny RAIMOND,FINISHER,S-M0F,FEMALE,FR,2023-10-20T04:00:16.000+00:00,2023-10-20T05:16:11.000+00:00,2023-10-20T06:24:55.000+00:00,2023-10-20T08:24:19.000+00:00,2023-10-20T10:46:48.000+00:00,2023-10-20T13:55:04.000+00:00,2023-10-20T16:51:32.000+00:00,2023-10-20T18:44:55.000+00:00,2023-10-20T21:18:16.000+00:00,2023-10-20T22:16:27.000+00:00,2023-10-20T23:30:46.000+00:00,2023-10-21T01:30:15.000+00:00,
3710,Camille DELMAS,FINISHER,M1-M2H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:26:32.000+00:00,2023-10-20T06:38:33.000+00:00,2023-10-20T08:39:28.000+00:00,2023-10-20T11:08:36.000+00:00,2023-10-20T14:15:51.000+00:00,2023-10-20T16:44:03.000+00:00,2023-10-20T18:55:14.000+00:00,2023-10-20T21:15:31.000+00:00,2023-10-20T22:19:02.000+00:00,2023-10-20T23:34:46.000+00:00,2023-10-21T01:35:51.000+00:00,
3968,Hubert PIEL,FINISHER,M5-M6H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:28:40.000+00:00,2023-10-20T06:43:03.000+00:00,2023-10-20T08:34:41.000+00:00,2023-10-20T11:04:08.000+00:00,2023-10-20T14:18:12.000+00:00,2023-10-20T16:39:40.000+00:00,2023-10-20T18:49:31.000+00:00,2023-10-20T21:20:07.000+00:00,2023-10-20T22:28:51.000+00:00,2023-10-20T23:43:42.000+00:00,2023-10-21T01:44:53.000+00:00,
3941,David GUIO,FINISHER,M3-M4H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:30:02.000+00:00,2023-10-20T06:45:25.000+00:00,2023-10-20T08:46:30.000+00:00,2023-10-20T11:24:41.000+00:00,2023-10-20T14:40:36.000+00:00,2023-10-20T17:01:16.000+00:00,2023-10-20T19:11:33.000+00:00,2023-10-20T21:17:30.000+00:00,2023-10-20T22:28:27.000+00:00,2023-10-20T23:50:51.000+00:00,2023-10-21T01:35:55.000+00:00,
3751,Romain ROCHER,FINISHER,S-M0H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:25:37.000+00:00,2023-10-20T06:32:41.000+00:00,2023-10-20T08:24:47.000+00:00,2023-10-20T11:02:24.000+00:00,2023-10-20T14:13:45.000+00:00,2023-10-20T16:37:11.000+00:00,2023-10-20T18:56:15.000+00:00,2023-10-20T21:11:58.000+00:00,2023-10-20T22:17:15.000+00:00,2023-10-20T23:31:19.000+00:00,2023-10-21T01:49:53.000+00:00,
3918,Anne MARCENNE,FINISHER,M3-M4F,FEMALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:31:30.000+00:00,2023-10-20T06:43:26.000+00:00,2023-10-20T08:39:02.000+00:00,2023-10-20T11:12:42.000+00:00,2023-10-20T14:35:12.000+00:00,2023-10-20T17:18:33.000+00:00,2023-10-20T19:55:42.000+00:00,2023-10-20T22:39:26.000+00:00,2023-10-20T23:52:19.000+00:00,,2023-10-21T01:38:27.000+00:00,2023-10-21T00:01:28.000+00:00
3993,Karine PLED,FINISHER,M3-M4F,FEMALE,FR,2023-10-20T04:00:16.000+00:00,2023-10-20T05:19:34.000+00:00,2023-10-20T06:37:46.000+00:00,2023-10-20T08:41:53.000+00:00,2023-10-20T11:15:56.000+00:00,2023-10-20T14:36:06.000+00:00,2023-10-20T16:52:01.000+00:00,2023-10-20T19:13:10.000+00:00,2023-10-20T21:50:21.000+00:00,2023-10-20T23:09:41.000+00:00,,2023-10-21T01:38:49.000+00:00,2023-10-20T23:53:49.000+00:00
4224,David KOWALSKI,FINISHER,M1-M2H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:21:12.000+00:00,2023-10-20T06:28:17.000+00:00,2023-10-20T08:26:37.000+00:00,2023-10-20T11:25:10.000+00:00,2023-10-20T14:57:36.000+00:00,2023-10-20T17:36:24.000+00:00,2023-10-20T19:48:30.000+00:00,2023-10-20T22:28:03.000+00:00,2023-10-20T23:30:33.000+00:00,,2023-10-21T01:38:56.000+00:00,2023-10-20T23:53:01.000+00:00
4158,Jérôme RIFFAUD,FINISHER,M1-M2H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:28:24.000+00:00,2023-10-20T06:41:06.000+00:00,2023-10-20T08:45:06.000+00:00,2023-10-20T11:25:13.000+00:00,2023-10-20T14:42:30.000+00:00,2023-10-20T17:00:47.000+00:00,2023-10-20T19:10:57.000+00:00,2023-10-20T21:30:21.000+00:00,2023-10-20T22:42:15.000+00:00,2023-10-20T23:54:08.000+00:00,2023-10-21T01:40:43.000+00:00,
4232,Paskal LE GOFF,FINISHER,M3-M4H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:22:10.000+00:00,2023-10-20T06:28:51.000+00:00,2023-10-20T08:30:06.000+00:00,2023-10-20T11:00:01.000+00:00,2023-10-20T14:17:20.000+00:00,2023-10-20T16:45:55.000+00:00,2023-10-20T18:55:29.000+00:00,2023-10-20T21:29:28.000+00:00,2023-10-20T22:35:35.000+00:00,2023-10-20T23:55:50.000+00:00,2023-10-21T01:41:48.000+00:00,
4237,Bruno VAILLANT,FINISHER,M3-M4H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:33:48.000+00:00,2023-10-20T06:45:43.000+00:00,2023-10-20T08:41:12.000+00:00,2023-10-20T11:05:01.000+00:00,2023-10-20T14:17:25.000+00:00,2023-10-20T16:51:54.000+00:00,2023-10-20T19:11:21.000+00:00,2023-10-20T21:41:30.000+00:00,2023-10-20T22:42:52.000+00:00,2023-10-21T00:04:05.000+00:00,2023-10-21T01:42:52.000+00:00,
3432,Frederic CHATAL,FINISHER,M1-M2H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:33:31.000+00:00,2023-10-20T06:53:28.000+00:00,2023-10-20T09:09:30.000+00:00,2023-10-20T11:43:17.000+00:00,2023-10-20T15:03:57.000+00:00,2023-10-20T18:00:13.000+00:00,2023-10-20T20:09:10.000+00:00,2023-10-20T22:36:15.000+00:00,2023-10-20T23:52:31.000+00:00,,2023-10-21T01:43:49.000+00:00,2023-10-21T00:01:32.000+00:00
4236,Vincent BOUDET,FINISHER,M3-M4H,MALE,FR,2023-10-20T04:00:16.000+00:00,2023-10-20T05:19:50.000+00:00,2023-10-20T06:36:21.000+00:00,2023-10-20T08:38:50.000+00:00,2023-10-20T11:19:17.000+00:00,2023-10-20T14:44:26.000+00:00,2023-10-20T17:22:41.000+00:00,2023-10-20T19:31:16.000+00:00,2023-10-20T21:53:48.000+00:00,2023-10-20T22:56:17.000+00:00,2023-10-21T00:08:14.000+00:00,2023-10-21T02:06:49.000+00:00,
3938,Jean Michel BINOIS,FINISHER,M5-M6H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:33:28.000+00:00,2023-10-20T06:51:22.000+00:00,2023-10-20T08:47:35.000+00:00,2023-10-20T11:25:15.000+00:00,2023-10-20T14:37:29.000+00:00,2023-10-20T16:57:57.000+00:00,2023-10-20T19:06:15.000+00:00,2023-10-20T21:27:01.000+00:00,2023-10-20T22:42:10.000+00:00,2023-10-21T00:02:17.000+00:00,2023-10-21T01:45:04.000+00:00,
4233,Christel THOMAS,FINISHER,M3-M4F,FEMALE,FR,2023-10-20T04:00:16.000+00:00,2023-10-20T05:12:19.000+00:00,2023-10-20T06:19:27.000+00:00,2023-10-20T08:23:37.000+00:00,2023-10-20T10:45:37.000+00:00,2023-10-20T14:01:02.000+00:00,2023-10-20T16:24:56.000+00:00,2023-10-20T18:42:05.000+00:00,2023-10-20T21:15:26.000+00:00,2023-10-20T22:22:18.000+00:00,2023-10-20T23:40:04.000+00:00,2023-10-21T01:45:26.000+00:00,
3901,Daniel PERE,FINISHER,M5-M6H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:28:45.000+00:00,2023-10-20T06:44:42.000+00:00,2023-10-20T08:58:25.000+00:00,2023-10-20T11:40:20.000+00:00,2023-10-20T14:57:41.000+00:00,2023-10-20T17:30:18.000+00:00,2023-10-20T19:35:32.000+00:00,2023-10-20T21:45:22.000+00:00,2023-10-20T22:48:01.000+00:00,2023-10-21T00:05:09.000+00:00,2023-10-21T02:19:31.000+00:00,
4347,Sébastien PIERROT,FINISHER,M1-M2H,MALE,FR,2023-10-20T04:00:16.000+00:00,2023-10-20T05:14:19.000+00:00,2023-10-20T06:36:04.000+00:00,2023-10-20T08:35:23.000+00:00,2023-10-20T11:11:35.000+00:00,2023-10-20T14:36:17.000+00:00,2023-10-20T17:26:37.000+00:00,2023-10-20T19:39:46.000+00:00,2023-10-20T22:00:44.000+00:00,2023-10-20T23:05:07.000+00:00,2023-10-21T00:07:31.000+00:00,2023-10-21T01:46:14.000+00:00,
4072,Geoffrey AZEVEDO,FINISHER,M1-M2H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:22:41.000+00:00,2023-10-20T06:30:35.000+00:00,2023-10-20T08:30:53.000+00:00,2023-10-20T11:10:00.000+00:00,2023-10-20T14:46:35.000+00:00,2023-10-20T17:19:02.000+00:00,2023-10-20T19:26:50.000+00:00,2023-10-20T21:49:06.000+00:00,2023-10-20T22:55:25.000+00:00,2023-10-21T00:10:35.000+00:00,2023-10-21T01:46:26.000+00:00,
