bib,name,status,category,sex,country,Départ,Cresse,Rozier,Truel,Champignon,St Andrée,La Roque,La Salvage,Mas de Bru,Massebiau,Cade,la pouncho,Arrivée,P7
3343,Patxi OLASSO,FINISHER,SE H,MALE,FR,2022-10-21T04:02:02.000+00:00,2022-10-21T06:17:16.000+00:00,2022-10-21T08:09:26.000+00:00,2022-10-21T10:21:09.000+00:00,2022-10-21T12:52:52.000+00:00,2022-10-21T14:23:38.000+00:00,2022-10-21T16:36:12.000+00:00,2022-10-21T18:39:51.000+00:00,2022-10-21T20:38:04.000+00:00,2022-10-21T21:37:28.000+00:00,2022-10-21T22:33:26.000+00:00,2022-10-21T23:07:17.000+00:00,2022-10-21T23:49:33.000+00:00,2022-10-21T05:28:24.000+00:00
3975,Yoann PASCAL,FINISHER,SE H,MALE,FR,2022-10-21T04:15:28.000+00:00,2022-10-21T06:23:55.000+00:00,2022-10-21T08:12:41.000+00:00,2022-10-21T10:22:08.000+00:00,2022-10-21T12:41:51.000+00:00,2022-10-21T14:06:12.000+00:00,2022-10-21T16:25:57.000+00:00,2022-10-21T18:45:50.000+00:00,2022-10-21T20:24:47.000+00:00,2022-10-21T21:21:33.000+00:00,2022-10-21T22:23:06.000+00:00,2022-10-21T23:02:22.000+00:00,2022-10-21T23:52:25.000+00:00,2022-10-21T05:35:25.000+00:00
3758,Paul ANSELME,FINISHER,M1-M2H,MALE,FR,2022-10-21T04:15:33.000+00:00,2022-10-21T06:34:05.000+00:00,2022-10-21T08:29:10.000+00:00,2022-10-21T10:44:59.000+00:00,2022-10-21T13:12:53.000+00:00,2022-10-21T14:38:34.000+00:00,2022-10-21T16:51:13.000+00:00,2022-10-21T19:00:52.000+00:00,2022-10-21T20:50:54.000+00:00,2022-10-21T21:28:31.000+00:00,2022-10-21T22:29:00.000+00:00,2022-10-21T23:07:26.000+00:00,2022-10-21T23:49:54.000+00:00,2022-10-21T05:42:43.000+00:00
3197,Theo MERCIER,FINISHER,SE H,MALE,FR,2022-10-21T04:15:28.000+00:00,2022-10-21T06:33:35.000+00:00,2022-10-21T08:27:07.000+00:00,2022-10-21T10:28:37.000+00:00,2022-10-21T12:52:29.000+00:00,2022-10-21T14:20:58.000+00:00,2022-10-21T16:25:29.000+00:00,2022-10-21T18:22:14.000+00:00,2022-10-21T20:16:36.000+00:00,2022-10-21T21:09:16.000+00:00,2022-10-21T22:09:06.000+00:00,2022-10-21T22:59:52.000+00:00,2022-10-22T00:32:47.000+00:00,2022-10-21T05:43:04.000+00:00
3314,Pierre CALVEZ,FINISHER,SE H,MALE,FR,2022-10-21T04:15:28.000+00:00,2022-10-21T06:33:26.000+00:00,2022-10-21T08:24:08.000+00:00,2022-10-21T10:28:13.000+00:00,2022-10-21T12:52:31.000+00:00,2022-10-21T14:20:58.000+00:00,2022-10-21T16:25:17.000+00:00,2022-10-21T18:35:03.000+00:00,2022-10-21T20:16:39.000+00:00,2022-10-21T21:09:15.000+00:00,2022-10-21T22:09:11.000+00:00,2022-10-21T22:59:48.000+00:00,2022-10-21T23:55:55.000+00:00,2022-10-21T05:43:04.000+00:00
3691,Jean BOUHIER,FINISHER,M1-M2H,MALE,FR,2022-10-21T04:15:48.000+00:00,2022-10-21T06:32:23.000+00:00,2022-10-21T08:31:21.000+00:00,2022-10-21T10:53:24.000+00:00,2022-10-21T13:37:20.000+00:00,2022-10-21T15:04:17.000+00:00,2022-10-21T17:15:16.000+00:00,2022-10-21T19:22:00.000+00:00,2022-10-21T20:50:04.000+00:00,2022-10-21T21:35:30.000+00:00,2022-10-21T22:46:18.000+00:00,2022-10-21T23:17:03.000+00:00,2022-10-22T02:33:40.000+00:00,2022-10-21T05:40:13.000+00:00
3622,Thierry COMPAGNE,FINISHER,M3-M4H,MALE,FR,2022-10-21T04:15:33.000+00:00,2022-10-21T06:22:48.000+00:00,2022-10-21T08:00:58.000+00:00,2022-10-21T10:13:33.000+00:00,2022-10-21T12:31:42.000+00:00,2022-10-21T14:01:03.000+00:00,2022-10-21T16:21:57.000+00:00,2022-10-21T18:32:58.000+00:00,2022-10-21T20:30:12.000+00:00,2022-10-21T21:26:35.000+00:00,2022-10-21T22:36:53.000+00:00,2022-10-21T23:12:44.000+00:00,2022-10-21T23:55:54.000+00:00,2022-10-21T05:36:00.000+00:00
3358,Nicolas HALLET,FINISHER,SE H,MALE,FR,2022-10-21T04:01:39.000+00:00,2022-10-21T06:04:54.000+00:00,2022-10-21T07:39:28.000+00:00,2022-10-21T09:45:02.000+00:00,2022-10-21T12:13:32.000+00:00,2022-10-21T13:36:32.000+00:00,2022-10-21T16:11:36.000+00:00,2022-10-21T18:19:34.000+00:00,2022-10-21T20:19:46.000+00:00,2022-10-21T21:22:43.000+00:00,2022-10-21T22:39:45.000+00:00,2022-10-21T23:17:16.000+00:00,2022-10-21T23:59:52.000+00:00,2022-10-21T05:20:20.000+00:00
3562,Sebastien LOYAU,FINISHER,M1-M2H,MALE,FR,2022-10-21T04:01:53.000+00:00,2022-10-21T06:00:47.000+00:00,2022-10-21T07:41:06.000+00:00,2022-10-21T09:58:54.000+00:00,2022-10-21T12:29:58.000+00:00,2022-10-21T14:29:55.000+00:00,2022-10-21T16:12:04.000+00:00,2022-10-21T18:19:30.000+00:00,2022-10-21T20:33:43.000+00:00,2022-10-21T21:28:21.000+00:00,2022-10-21T22:32:54.000+00:00,2022-10-21T23:13:49.000+00:00,2022-10-21T23:56:55.000+00:00,
3531,Emmanuel MARTIN,FINISHER,M3-M4H,MALE,FR,2022-10-21T04:01:39.000+00:00,2022-10-21T06:11:21.000+00:00,2022-10-21T07:57:18.000+00:00,2022-10-21T10:09:06.000+00:00,2022-10-21T12:39:09.000+00:00,2022-10-21T14:19:40.000+00:00,2022-10-21T16:25:39.000+00:00,2022-10-21T18:23:16.000+00:00,2022-10-21T20:12:54.000+00:00,2022-10-21T21:11:51.000+00:00,2022-10-21T22:28:42.000+00:00,2022-10-21T23:08:06.000+00:00,2022-10-21T23:58:46.000+00:00,2022-10-21T05:24:31.000+00:00
