year,bib,race_name,distance,elevationGain,gender,indexCategory,rank,time,race_year,countryCode
2025,7020,dodo trail - trooper 25km,23700.0,1450,MALE,20K,175,07:12:48,2022,MU
2025,7020,dodo trail - trooper 25km,23700.0,1450,MALE,20K,106,07:09:34,2021,MU
2025,7021,le grand raid de la réunion - la diagonale des fous,167300.0,9710,FEMALE,100M,1527,56:36:12,2023,FR
2025,7021,le grand raid de la réunion - trail de bourbon,105100.0,6131,FEMALE,100K,642,37:38:58,2021,FR
2025,7022,l'ultra marin raid golfe du morbihan - arvor 56 km,59500.0,600,FEMALE,50K,1131,07:38:00,2025,FR
2025,7022,trail des vallées - le trail du roch',25000.0,350,FEMALE,20K,344,03:12:23,2025,FR
2025,7022,l'ultra marin raid golfe du morbihan - ronde des douaniers 34 km,33000.0,510,FEMALE,20K,1468,03:59:59,2024,FR
2025,7024,utcs - trail ambodirano - utcs - trail ambodirano,31000.0,1000,FEMALE,20K,21,03:19:33,2025,MG
2025,7025,le grand raid de la réunion - zembrocal trail relais2,36200.0,1210,MALE,20K,170,09:36:53,2022,FR
2025,7029,trans peneda-gerês - tpg 25km,25000.0,1063,FEMALE,20K,206,04:30:30,2025,PT
2025,7029,caramulo magic trail - cn 24k,24000.0,1183,FEMALE,20K,391,04:03:20,2025,PT
2025,7029,trilhos dos abutres - trilhos,32000.0,1500,FEMALE,20K,384,06:06:02,2025,PT
2025,7029,desafio picos do açor  - dpa 18k,18000.0,1000,FEMALE,20K,450,03:15:39,2024,PT
2025,7029,maxi race madeira - maxi race madeira long (55km),55000.0,3500,FEMALE,50K,95,11:27:47,2024,PT
2025,7029,vouga trail - sever do vouga - vouga trail curto,19600.0,730,FEMALE,20K,283,02:51:52,2024,PT
2025,7029,desafio picos do açor  - dpa 18k,18000.0,1000,FEMALE,20K,309,02:51:17,2023,PT
2025,7029,taut - terras do ansiÃo ultra trail - tatl - terras do anciÃo trail longo,35000.0,1023,FEMALE,20K,98,05:25:58,2023,PT
2025,7029,louzantrail® - louzantrail®,29000.0,2050,FEMALE,20K,209,05:31:47,2023,PT
2025,7029,vouga trail - sever do vouga - vouga trail,25000.0,1000,FEMALE,20K,247,04:19:29,2023,PT
2025,7031,l'ultra marin raid golfe du morbihan - réveil des ducs 70km,70000.0,498,MALE,50K,899,10:10:43,2025,FR
2025,7032,le grand raid de la réunion - zembrocal trail relais1,37900.0,2769,MALE,50K,1,04:38:54,2024,FR
2025,7032,le grand raid de la réunion - la mascareignes,72000.0,4007,MALE,100K,581,17:27:34,2023,FR
2025,7032,cimasarun - cumasarun,51700.0,3725,MALE,50K,8,07:11:29,2023,FR
2025,7032,le grand raid de la réunion - zembrocal trail relais1,37200.0,2720,MALE,50K,2,05:15:17,2022,FR
2025,7032,le grand raid de la réunion - la diagonale des fous,160200.0,9377,MALE,100M,200,37:46:37,2021,FR
2025,7033,ultra trail de la siberie - ultra trail de la siberie 32km ,32000.0,1300,FEMALE,20K,202,04:43:02,2025,BE
2025,7033,trail de bruxelles - 25km,25000.0,320,FEMALE,20K,231,02:52:06,2024,BE
2025,7033,munster'trail - munster'trail 22km,22000.0,1000,FEMALE,20K,145,02:42:46,2024,FR
2025,7034,mafate trail tour - ultra mafate trail tour,63400.0,4090,FEMALE,100K,66,12:15:01,2023,FR
2025,7034,le grand raid de la réunion - la mascareignes,72000.0,4007,FEMALE,100K,161,13:37:39,2023,FR
2025,7034,le grand raid de la réunion - trail de bourbon,105100.0,6131,FEMALE,100K,197,27:24:48,2021,FR
2025,7035,le grand raid de la réunion - trail de bourbon,101000.0,5835,MALE,100K,122,21:25:25,2024,FR
2025,7035,raid 974 - semi-raid 974,57000.0,2800,MALE,50K,10,08:09:23,2024,FR
2025,7035,le grand raid de la réunion - la mascareignes,72000.0,3874,MALE,100K,117,13:23:34,2021,FR
2025,7037,le grand raid de la réunion - metis trail,50000.0,2598,FEMALE,50K,353,13:18:37,2024,FR
2025,7038,l'ultra marin raid golfe du morbihan - grand relais - n°4,29300.0,271,MALE,20K,452,05:18:27,2025,FR
2025,7038,trail du cirque du fer à cheval - trail 22 km,22000.0,780,MALE,20K,392,04:12:11,2025,FR
2025,7038,l'ultra marin raid golfe du morbihan - grand relais - n°3,45490.0,196,MALE,20K,387,07:48:04,2024,FR
2025,7038,grand raid 73 - petit savoyard,23000.0,1250,MALE,20K,166,05:26:25,2024,FR
2025,7038,l'ultra marin raid golfe du morbihan - grand relais - n°3,52000.0,196,MALE,50K,285,08:09:21,2023,FR
2025,7038,trail de la valserine - trail de la valserine boucle 1-2,26500.0,1110,MALE,20K,58,05:27:35,2022,FR
2025,7039,le grand raid de la réunion - la diagonale des fous,167300.0,9710,MALE,100M,755,46:05:31,2023,FR
2025,7039,cimasarun - cumasarun,51700.0,3725,MALE,50K,354,11:10:06,2023,FR
2025,7039,le grand raid de la réunion - zembrocal trail relais1,37200.0,2720,MALE,50K,32,06:29:02,2022,FR
2025,7042,le grand raid de la réunion - zembrocal trail relais2,32700.000000000004,1168,MALE,20K,195,09:27:13,2024,FR
2025,7042,trail des anglais - trail des anglais,28000.0,1260,MALE,20K,635,04:28:19,2020,FR
2025,7044,trail du petit ballon - marathon du petit ballon 42 km,42730.0,1346,FEMALE,50K,274,05:19:43,2025,FR
2025,7044,trail des glières - ecureuil fou 41 km,41000.0,2300,FEMALE,50K,94,06:32:01,2024,FR
2025,7044,trail du tour des fiz - tour des 5 refuges,37900.0,2330,FEMALE,50K,275,05:56:35,2024,FR
2025,7044,la transju'trail - le 25km de la transju'trail,25000.0,1250,FEMALE,20K,196,03:22:01,2024,FR
2025,7044,lyaud trail - grand lyaud,20000.0,1380,FEMALE,20K,162,02:46:45,2024,FR
2025,7044,Échappée belle - skyrace du rocher blanc,20000.0,1950,FEMALE,20K,114,04:59:30,2023,FR
2025,7044,trail du tour des fiz - tour des 5 refuges,37800.0,2530,FEMALE,50K,359,07:43:14,2022,FR
2025,7053,le grand raid de la réunion - la mascareignes,74100.0,4000,MALE,100K,979,19:44:23,2022,FR
2025,7053,le grand raid de la réunion - la mascareignes,72000.0,3874,MALE,100K,854,20:44:51,2021,FR
2025,7053,trail des anglais - trail des anglais,28000.0,1260,MALE,20K,642,04:28:23,2020,FR
2025,7054,l'ultra marin raid golfe du morbihan - arvor 56 km,59500.0,600,MALE,50K,581,06:46:38,2025,FR
2025,7054,trail du saint-jacques by UTMB® - grand trail du saint jacques - 100k,81900.0,3080,MALE,100K,677,14:22:37,2025,FR
2025,7054,nice côte d’azur by UTMB® - eze - nice - 50k,54000.0,2100,MALE,50K,1316,09:41:16,2024,FR
2025,7054,wildstrubel by UTMB - wild 25,29100.0,1476,MALE,20K,620,04:36:58,2024,CH
2025,7054,trail alsace grand est by UTMB - trail des celtes,49600.0,2020,MALE,50K,694,06:41:33,2023,FR
2025,7054,le trail des hobbits - la comtoise,31000.0,620,MALE,20K,326,03:35:36,2022,FR
2025,7056,trail de vulcain - riom limagne & volcans,28000.0,870,FEMALE,20K,184,03:06:51,2025,FR
2025,7056,x trail corrèze dordogne - les balcons de la dordogne,25800.0,840,FEMALE,20K,197,03:17:56,2020,FR
