bib,name,segment_time,rank,sex,year,secteur,end_checkpoint,start_checkpoint,filtrer_valeur_aberrante
2495,Jean Pierre GRONDIN,01:20:02,11,MALE,2025,Taïbit → Marla,Marla,Sentier T,False
2199,Vincent ESMIOL,01:20:18,12,MALE,2024,Taïbit → Marla,Marla,Sentier T,False
2085,Manon BOHARD,01:28:16,2,FEMALE,2024,Taïbit → Marla,Marla,Sentier T,False
1663,Maryline NAKACHE,01:33:14,3,FEMALE,2024,Taïbit → Marla,Marla,Sentier T,False
2037,Anne CHAMPAGNE,01:33:24,4,FEMALE,2025,Taïbit → Marla,Marla,Sentier T,False
380,Amélie HUCHET,01:38:17,5,FEMALE,2025,Taïbit → Marla,Marla,Sentier T,False
1036,Pauline GRARDEL,01:38:55,6,FEMALE,2024,Taïbit → Marla,Marla,Sentier T,False
2428,Sarah VIEUILLE,01:39:10,7,FEMALE,2025,Taïbit → Marla,Marla,Sentier T,False
464,Wenfei XIE,01:40:04,8,FEMALE,2024,Taïbit → Marla,Marla,Sentier T,False
921,Marie DOHIN,01:42:53,9,FEMALE,2025,Taïbit → Marla,Marla,Sentier T,False
421,Flavie BRUYNEEL,01:45:34,10,FEMALE,2024,Taïbit → Marla,Marla,Sentier T,False
2867,Julie MARINI,01:45:58,11,FEMALE,2024,Taïbit → Marla,Marla,Sentier T,False
2204,Linda GUINOISEAU,01:47:13,12,FEMALE,2025,Taïbit → Marla,Marla,Sentier T,False
2728,Baptiste CHASSAGNE,01:18:08,1,MALE,2025,Merles → Aurère,Aurère,Merles,False
2893,Jean - Philippe TSCHUMI,01:18:31,2,MALE,2024,Merles → Aurère,Aurère,Merles,False
317,Mathieu BLANCHARD,01:19:40,3,MALE,2024,Merles → Aurère,Aurère,Merles,False
926,Ben DHIMAN,01:20:48,4,MALE,2024,Merles → Aurère,Aurère,Merles,False
2605,Aurelien DUNAND-PALLAZ,01:21:50,5,MALE,2025,Merles → Aurère,Aurère,Merles,False
1551,Yannick NOËL,01:22:20,6,MALE,2025,Merles → Aurère,Aurère,Merles,False
2618,Diego PAZOS,01:22:57,7,MALE,2024,Merles → Aurère,Aurère,Merles,False
1003,Jérôme VANDERSCHAEGHE,01:25:43,8,MALE,2025,Merles → Aurère,Aurère,Merles,False
2845,Martin KERN,01:29:05,9,MALE,2024,Merles → Aurère,Aurère,Merles,False
1961,Fabrice PAYET,01:30:20,10,MALE,2025,Merles → Aurère,Aurère,Merles,False
2199,Vincent ESMIOL,01:30:27,11,MALE,2024,Merles → Aurère,Aurère,Merles,False
2732,Ludovic POMMERET,01:30:30,12,MALE,2025,Merles → Aurère,Aurère,Merles,False
299,Blandine L HIRONDEL,01:31:02,1,FEMALE,2025,Merles → Aurère,Aurère,Merles,False
2314,Manon CAMPANO,01:44:42,2,FEMALE,2025,Merles → Aurère,Aurère,Merles,False
2085,Manon BOHARD,01:45:28,3,FEMALE,2024,Merles → Aurère,Aurère,Merles,False
1663,Maryline NAKACHE,01:50:15,4,FEMALE,2024,Merles → Aurère,Aurère,Merles,False
1036,Pauline GRARDEL,01:51:15,5,FEMALE,2024,Merles → Aurère,Aurère,Merles,False
2428,Sarah VIEUILLE,01:53:18,6,FEMALE,2025,Merles → Aurère,Aurère,Merles,False
2037,Anne CHAMPAGNE,01:57:13,7,FEMALE,2025,Merles → Aurère,Aurère,Merles,False
1692,Maud COMBARIEU,01:59:26,8,FEMALE,2025,Merles → Aurère,Aurère,Merles,False
61,Silvia TRIGUEROS,02:00:37,9,FEMALE,2025,Merles → Aurère,Aurère,Merles,False
921,Marie DOHIN,02:00:49,10,FEMALE,2025,Merles → Aurère,Aurère,Merles,False
1939,Anais MACIAN,02:02:15,11,FEMALE,2024,Merles → Aurère,Aurère,Merles,False
2867,Julie MARINI,02:02:19,12,FEMALE,2024,Merles → Aurère,Aurère,Merles,False
2728,Baptiste CHASSAGNE,01:39:11,1,MALE,2025,Orangers → Maïdo,Tête dure,Ilet Oran,False
317,Mathieu BLANCHARD,01:39:51,2,MALE,2024,Orangers → Maïdo,Tête dure,Ilet Oran,False
2605,Aurelien DUNAND-PALLAZ,01:41:39,3,MALE,2025,Orangers → Maïdo,Tête dure,Ilet Oran,False
926,Ben DHIMAN,01:42:17,4,MALE,2024,Orangers → Maïdo,Tête dure,Ilet Oran,False
2893,Jean - Philippe TSCHUMI,01:43:10,5,MALE,2024,Orangers → Maïdo,Tête dure,Ilet Oran,False
1551,Yannick NOËL,01:47:38,6,MALE,2025,Orangers → Maïdo,Tête dure,Ilet Oran,False
1003,Jérôme VANDERSCHAEGHE,01:50:30,7,MALE,2025,Orangers → Maïdo,Tête dure,Ilet Oran,False
2732,Ludovic POMMERET,01:53:32,8,MALE,2025,Orangers → Maïdo,Tête dure,Ilet Oran,False
299,Blandine L HIRONDEL,01:53:49,1,FEMALE,2025,Orangers → Maïdo,Tête dure,Ilet Oran,False
2481,René ROVERA,01:54:19,9,MALE,2024,Orangers → Maïdo,Tête dure,Ilet Oran,False
2845,Martin KERN,01:56:49,10,MALE,2024,Orangers → Maïdo,Tête dure,Ilet Oran,False
2618,Diego PAZOS,01:56:50,11,MALE,2024,Orangers → Maïdo,Tête dure,Ilet Oran,False
1747,Rémi GILLIE,01:56:57,12,MALE,2025,Orangers → Maïdo,Tête dure,Ilet Oran,False
2085,Manon BOHARD,02:18:50,2,FEMALE,2024,Orangers → Maïdo,Tête dure,Ilet Oran,False
2314,Manon CAMPANO,02:20:25,3,FEMALE,2025,Orangers → Maïdo,Tête dure,Ilet Oran,False
1036,Pauline GRARDEL,02:22:26,4,FEMALE,2024,Orangers → Maïdo,Tête dure,Ilet Oran,False
2290,Aline COQUARD,02:26:54,5,FEMALE,2024,Orangers → Maïdo,Tête dure,Ilet Oran,False
2037,Anne CHAMPAGNE,02:28:25,6,FEMALE,2025,Orangers → Maïdo,Tête dure,Ilet Oran,False
464,Wenfei XIE,02:29:12,7,FEMALE,2024,Orangers → Maïdo,Tête dure,Ilet Oran,False
1663,Maryline NAKACHE,02:31:48,8,FEMALE,2024,Orangers → Maïdo,Tête dure,Ilet Oran,False
2428,Sarah VIEUILLE,02:37:31,9,FEMALE,2025,Orangers → Maïdo,Tête dure,Ilet Oran,False
255,Sylvaine CUSSOT,02:40:37,10,FEMALE,2024,Orangers → Maïdo,Tête dure,Ilet Oran,False
2741,Johanna ANTILA,02:44:00,11,FEMALE,2025,Orangers → Maïdo,Tête dure,Ilet Oran,False
502,Yanid ARANGO,02:44:50,12,FEMALE,2025,Orangers → Maïdo,Tête dure,Ilet Oran,False
2728,Baptiste CHASSAGNE,01:42:00,1,MALE,2025,Maïdo → Savannah,Ilet Savan,Tête dure,False
317,Mathieu BLANCHARD,01:42:49,2,MALE,2024,Maïdo → Savannah,Ilet Savan,Tête dure,False
2893,Jean - Philippe TSCHUMI,01:45:13,3,MALE,2024,Maïdo → Savannah,Ilet Savan,Tête dure,False
1003,Jérôme VANDERSCHAEGHE,01:47:22,4,MALE,2025,Maïdo → Savannah,Ilet Savan,Tête dure,False
1961,Fabrice PAYET,01:50:05,5,MALE,2025,Maïdo → Savannah,Ilet Savan,Tête dure,False
1747,Rémi GILLIE,01:50:16,6,MALE,2025,Maïdo → Savannah,Ilet Savan,Tête dure,False
1551,Yannick NOËL,01:50:40,7,MALE,2025,Maïdo → Savannah,Ilet Savan,Tête dure,False
2732,Ludovic POMMERET,01:52:00,8,MALE,2025,Maïdo → Savannah,Ilet Savan,Tête dure,False
