year,bib,name,sex,variation_coefficient,vitesse_moy,amplitude,cv_median_peers,cv_median_elite,ecart_cv_peers,ecart_cv_elite
2025,34,Dakota JONES,MALE,45.32387201371871,6.790064211400579,12.63497312939231,43.266635629273836,42.05951618681361,2.0572363844448773,3.2643558269051027
2025,35,Antonina IUSHINA,FEMALE,30.296214807830136,9.379542247002398,5.647310668376407,,42.05951618681361,,-11.763301378983474
2025,36,Aurelien DUNAND PALLAZ,MALE,45.274251868008456,7.742686952124858,13.458388375165125,42.35889188519975,42.05951618681361,2.9153599828087025,3.2147356811948455
2025,37,Yannick NOËL,MALE,41.23599170113118,8.09121245981711,13.017035775127768,41.23599170113118,42.05951618681361,0.0,-0.8235244856824337
2025,38,Lauren PURETZ,FEMALE,42.80574893675084,6.771942096250846,11.404477611940298,43.378242521172155,42.05951618681361,-0.5724935844213164,0.7462327499372279
2025,39,Théo DETIENNE,MALE,37.4399840896983,8.724299296651719,13.444785276073612,,42.05951618681361,,-4.619532097115311
2025,41,Ionel Cristian MANOLE,MALE,48.19478236679089,7.47023732858546,13.078305519897304,,42.05951618681361,,6.135266179977279
2025,42,Claudia TREMPS,FEMALE,41.24370235461827,6.808390829048919,11.195604395604397,43.498551880139345,42.05951618681361,-2.254849525521074,-0.8158138321953388
2025,43,Jonas RUSSI,MALE,44.54322105558093,6.886234691171819,12.394160583941606,43.378242521172155,42.05951618681361,1.1649785344087746,2.483704868767319
2025,45,Aleix TODA MAS,MALE,36.35334305966022,8.256629899319922,8.955274130070535,,42.05951618681361,,-5.7061731271533915
2025,46,Josh WADE,MALE,40.551478530160956,8.416975884966396,13.140154772141015,40.937619079193624,42.05951618681361,-0.3861405490326675,-1.5080376566526539
2025,47,Ricardo CHERTA,MALE,31.03684527599535,8.874879312541504,7.889110195407344,,42.05951618681361,,-11.02267091081826
2025,48,Simon GOSSELIN,MALE,39.85422935999684,8.333443392066872,12.667630057803462,,42.05951618681361,,-2.205286826816767
2025,49,Philipp AUSSERHOFER,MALE,45.69003241673311,6.786185493278172,12.614114733801074,43.27533809634271,42.05951618681361,2.414694320390403,3.6305162299195004
2025,50,Francois D'HAENE,MALE,41.66700997022996,8.893377824876465,10.942147045384718,,42.05951618681361,,-0.3925062165836479
2025,55,Johanna ANTILA,FEMALE,45.25819743052957,6.588212596054009,11.953070003910833,,42.05951618681361,,3.19868124371596
2025,56,Maite MAIORA ELIZONDO,FEMALE,41.97108103773048,6.331973703248844,10.66806282722513,43.79041220653184,42.05951618681361,-1.8193311688013623,-0.0884351490831321
2025,58,Alyssa CLARK,FEMALE,54.00226019326156,6.211499072939404,11.679021780664883,44.5678132331758,42.05951618681361,9.434446960085765,11.942744006447953
2025,59,Emma STUART,FEMALE,43.257933162204964,6.69874177615143,11.481592787377911,43.27533809634271,42.05951618681361,-0.01740493413774402,1.1984169753913534
2025,60,Magali MELLON,FEMALE,42.65132170208215,6.937286969871467,11.577272727272728,43.1050657385484,42.05951618681361,-0.4537440364662473,0.5918055152685398
2025,62,Lindsey DWYER,FEMALE,45.019216737776574,6.2002750392368196,10.927422238112264,43.576171439572406,42.05951618681361,1.4430452982041686,2.959700550962964
2025,63,Martina KLANCNIK POTRČ,FEMALE,43.76348596432377,7.336645618231735,7.950981921304502,,42.05951618681361,,1.70396977751016
2025,64,Anna CARLSSON,FEMALE,41.90030368807754,6.92833172760541,11.696900114810564,43.52677600920873,42.05951618681361,-1.626472321131189,-0.1592124987360677
2025,70,Matteo ANSELMI,MALE,28.385134455719246,9.071862111636237,7.301267377953269,,42.05951618681361,,-13.674381731094364
2025,71,Tom JOLY,MALE,37.24431792928087,7.678991603240037,12.279630373644034,,42.05951618681361,,-4.815198257532742
2025,73,Valentin BENARD,MALE,46.96264925261263,7.479697021917365,12.798994974874372,,42.05951618681361,,4.903133065799018
2025,74,Baptiste COATANTIEC,MALE,40.91095880900885,7.8517650653080375,12.562268803945747,42.424409693612404,42.05951618681361,-1.5134508846035573,-1.1485573778047637
2025,75,Aleksei TOLSTENKO,MALE,25.269325738688618,8.623387806082961,6.9040567923357985,,42.05951618681361,,-16.790190448124992
2025,76,Aubin FERRARI,MALE,25.932028336765818,9.758150287003224,7.646149276298501,,42.05951618681361,,-16.127487850047793
2025,78,Antoine LAMBOY-MARTIN,MALE,40.50102660729415,7.769506785420381,12.619322873658135,42.424409693612404,42.05951618681361,-1.9233830863182533,-1.5584895795194598
2025,79,Kamil LEŚNIAK,MALE,41.04009015878539,7.721351523814018,12.766917293233083,42.07930528817611,42.05951618681361,-1.039215129390719,-1.0194260280282208
2025,81,Santos Gabriel RUEDA,MALE,42.68815263308367,7.6935014836020175,13.067122702009407,42.16066675414113,42.05951618681361,0.5274858789425352,0.6286364462700575
2025,82,Cody LIND,MALE,42.826950849350354,7.778160764068678,12.756260434056761,42.16066675414113,42.05951618681361,0.666284095209221,0.7674346625367434
2025,83,Pablo VILLA,MALE,40.93079298502653,8.591690330190286,13.157124408092985,,42.05951618681361,,-1.128723201787082
2025,84,Nicolas GOURDON,MALE,43.67579540039658,7.627566390280009,13.191195511437204,42.399805164624986,42.05951618681361,1.2759902357715944,1.6162792135829704
2025,85,Gilles ROUX,MALE,17.721181621912272,9.864377206522347,3.4835656613497523,,42.05951618681361,,-24.338334564901338
2025,86,Terunobu KUROKAWA,MALE,42.538126239289305,7.644505524133129,12.588138385502472,,42.05951618681361,,0.47861005247569466
2025,87,Marek CAUSIDIS,MALE,28.142455552903982,9.408090438254547,7.7591537203816054,,42.05951618681361,,-13.917060633909628
2025,88,Gediminas GRINIUS,MALE,33.43515253256683,8.079070903127572,7.5204519848061375,,42.05951618681361,,-8.624363654246778
2025,89,Bastien FLEURY,MALE,42.208705654271476,8.019325820867918,12.259927797833935,,42.05951618681361,,0.149189467457866
2025,90,Stephen KERSH,MALE,42.31797860577453,7.2493239701311385,12.172043010752688,42.947410259339705,42.05951618681361,-0.6294316535651774,0.25846241896091726
2025,92,Helio FUMO,MALE,45.50421861529183,6.91433705359842,12.37910085054678,43.498551880139345,42.05951618681361,2.005666735152488,3.444702428478223
2025,93,Matthew VIRA,MALE,42.709383727376995,7.861968220271287,12.766917293233083,,42.05951618681361,,0.6498675405633847
2025,94,Matthew SEIDEL,MALE,45.41891355863802,6.777532420152121,12.740308461859108,43.57285152625575,42.05951618681361,1.846062032382271,3.3593973718244072
2025,95,Oriol BARBANY BOFILL,MALE,44.35559914638747,7.577684323560125,13.300261096605745,,42.05951618681361,,2.2960829595738588
2025,96,Jisub KIM,MALE,21.7941580479943,9.61819584808781,4.149622900450864,,42.05951618681361,,-20.26535813881931
2025,97,Michael DUNSTAN,MALE,39.40524906486533,7.643469890158648,12.19632881085395,,42.05951618681361,,-2.65426712194828
2025,98,Andy BERRY,MALE,38.46142212188677,7.731706159163116,11.800772200772201,,42.05951618681361,,-3.5980940649268405
2025,99,Ferdinand AIRAULT,MALE,47.54881132988135,6.9077595601820345,13.265625,43.27533809634271,42.05951618681361,4.273473233538645,5.489295143067743
2025,100,Alban BERSON,MALE,36.127870015448934,7.36547792199537,8.44376851460009,,42.05951618681361,,-5.931646171364676
2025,101,Canyon WOODWARD,MALE,42.87562482353341,7.833112890162463,13.117596566523606,42.119986021158624,42.05951618681361,0.7556388023747829,0.8161086367197967
2025,102,Aleksei BERESNEV,MALE,44.15863981313242,7.173940303147174,12.890763390974273,42.728535319416494,42.05951618681361,1.4301044937159233,2.099123626318807
2025,103,Samuel COLLINS,MALE,46.43331416033985,6.3406896389923615,11.094010889292196,43.576171439572406,42.05951618681361,2.857142720767442,4.373797973526237
2025,105,Cedric CHAVET,MALE,44.23526856203685,7.1686951339571685,12.118953211736716,,42.05951618681361,,2.17575237522324
2025,106,Petter RESTORP,MALE,30.878613112674902,7.506864954697497,7.811176867738571,,42.05951618681361,,-11.180903074138708
2025,108,Dong HE,MALE,45.73198957057047,7.152602004606011,12.20119760479042,43.498551880139345,42.05951618681361,2.233437690431124,3.6724733837568593
2025,109,George MURRAY,MALE,45.18643222027447,6.670562061243041,12.394160583941606,,42.05951618681361,,3.1269160334608586
2025,110,Timo TOLLEFSON,MALE,41.612271478181704,8.595016776794106,13.179818887451487,,42.05951618681361,,-0.44724470863190646
2025,111,Nicolas ALLEMEERSCH,MALE,46.17091842086357,6.999724764978474,12.414297319252642,42.80574893675084,42.05951618681361,3.3651694841127338,4.111402234049962
2025,112,Peter VAN DER ZON,MALE,40.562709691470225,7.779928593176109,8.693690976500715,,42.05951618681361,,-1.4968064953433853
2025,113,Jiqian WANG,MALE,45.95688385908227,7.157021578680224,12.671641791044776,,42.05951618681361,,3.8973676722686577
