dist_total;latitude;longitude;elevation
0.5157783578391973;45.920086;6.866367;1054.6
0.5201575404094056;45.920054;6.866334;1054.6
0.5242331650966898;45.920026;6.8663;1054.6
0.5293049717446906;45.919987;6.866266;1054.6
0.533511313984179;45.919955;6.866237;1054.6
0.5378021601854532;45.919923;6.866206;1054.6
0.5425686698541665;45.919891;6.866165;1054.6
0.5473541829100131;45.919856;6.866129;1054.2
0.5515153764712999;45.919827;6.866095;1054.4
0.5562818897906112;45.919795;6.866054;1054.4
0.5604430851788738;45.919766;6.86602;1054.4
0.5671921677504829;45.919714;6.865975;1054.0
0.56950568755392;45.919696;6.86596;1054.0
0.5739768303806839;45.919664;6.865925;1054.0
0.5785481155833513;45.919629;6.865894;1054.0
0.5833336362917015;45.919594;6.865858;1053.8
0.5874463830813483;45.919565;6.865825;1053.8
