bib,name,status,category,sex,country,Cilaos,Mare Josep,Cav Dufour,Bélouve,Hell-Bourg,Bras Marro,Merles,Nouvelle,Marla,Roche plat,orangers,Pass Oussy,Deux Bras,Dos d'Ane,Ratinaud,Possession,Chaloupe,Colorado,St Denis
5336,Marie-Pierre FILAIN,FINISHER,M0 F,FEMALE,FR,2023-10-20T20:21:53.000+00:00,2023-10-20T21:34:40.000+00:00,2023-10-21T00:52:50.000+00:00,2023-10-21T03:34:19.000+00:00,2023-10-21T04:32:32.000+00:00,2023-10-21T05:28:28.000+00:00,2023-10-21T09:34:43.000+00:00,2023-10-21T11:19:52.000+00:00,2023-10-21T13:44:40.000+00:00,2023-10-21T16:43:40.000+00:00,2023-10-21T19:09:26.000+00:00,2023-10-21T21:23:15.000+00:00,2023-10-21T22:19:20.000+00:00,2023-10-22T01:50:39.000+00:00,2023-10-22T02:37:25.000+00:00,2023-10-22T05:13:46.000+00:00,2023-10-22T08:00:48.000+00:00,2023-10-22T11:45:00.000+00:00,2023-10-22T13:34:42.000+00:00
6315,Arnaud PETON,FINISHER,M2 H,MALE,FR,2023-10-20T20:21:53.000+00:00,2023-10-20T21:17:36.000+00:00,2023-10-20T23:46:59.000+00:00,2023-10-21T02:09:15.000+00:00,2023-10-21T03:23:25.000+00:00,2023-10-21T04:03:07.000+00:00,2023-10-21T06:50:45.000+00:00,2023-10-21T08:25:28.000+00:00,2023-10-21T09:52:31.000+00:00,2023-10-21T13:40:40.000+00:00,2023-10-21T15:49:26.000+00:00,2023-10-21T17:39:39.000+00:00,2023-10-21T18:28:46.000+00:00,2023-10-22T00:21:15.000+00:00,2023-10-22T01:16:22.000+00:00,2023-10-22T05:27:02.000+00:00,2023-10-22T07:36:29.000+00:00,2023-10-22T11:20:38.000+00:00,2023-10-22T13:40:49.000+00:00
5752,Cyril CHARLEVILLE,FINISHER,SE H,MALE,FR,2023-10-20T20:21:53.000+00:00,2023-10-20T21:37:32.000+00:00,2023-10-21T00:49:59.000+00:00,2023-10-21T03:28:51.000+00:00,2023-10-21T04:48:11.000+00:00,2023-10-21T05:58:05.000+00:00,2023-10-21T10:02:48.000+00:00,2023-10-21T11:52:23.000+00:00,2023-10-21T13:48:52.000+00:00,2023-10-21T16:26:59.000+00:00,2023-10-21T18:52:11.000+00:00,2023-10-21T21:04:32.000+00:00,2023-10-21T21:46:43.000+00:00,2023-10-22T01:12:45.000+00:00,2023-10-22T01:58:06.000+00:00,2023-10-22T05:08:30.000+00:00,2023-10-22T07:25:22.000+00:00,2023-10-22T11:09:30.000+00:00,2023-10-22T13:47:02.000+00:00
5739,Régis MESSMER,FINISHER,M3 H,MALE,FR,2023-10-20T20:10:04.000+00:00,2023-10-20T21:17:46.000+00:00,2023-10-21T00:09:38.000+00:00,2023-10-21T03:10:07.000+00:00,2023-10-21T04:19:18.000+00:00,2023-10-21T05:16:56.000+00:00,2023-10-21T09:22:22.000+00:00,2023-10-21T11:00:54.000+00:00,2023-10-21T12:42:58.000+00:00,2023-10-21T15:43:48.000+00:00,2023-10-21T18:18:27.000+00:00,2023-10-21T20:42:53.000+00:00,2023-10-21T21:44:14.000+00:00,2023-10-22T01:15:38.000+00:00,2023-10-22T02:09:25.000+00:00,2023-10-22T05:14:34.000+00:00,2023-10-22T08:02:58.000+00:00,2023-10-22T11:22:03.000+00:00,2023-10-22T13:54:07.000+00:00
6431,Guillaume DE GÉRY,FINISHER,M4 H,MALE,FR,2023-10-20T20:21:53.000+00:00,2023-10-20T21:26:47.000+00:00,2023-10-21T00:29:19.000+00:00,2023-10-21T03:33:10.000+00:00,2023-10-21T05:17:02.000+00:00,2023-10-21T05:53:16.000+00:00,2023-10-21T09:29:33.000+00:00,2023-10-21T11:41:04.000+00:00,2023-10-21T13:18:45.000+00:00,2023-10-21T16:15:10.000+00:00,2023-10-21T18:15:06.000+00:00,2023-10-21T20:30:20.000+00:00,2023-10-21T21:36:04.000+00:00,2023-10-22T01:21:27.000+00:00,2023-10-22T02:18:04.000+00:00,2023-10-22T05:23:00.000+00:00,2023-10-22T07:55:57.000+00:00,2023-10-22T11:25:33.000+00:00,2023-10-22T13:54:46.000+00:00
5176,Marie-Fred MONG MING LANG,FINISHER,M3 F,FEMALE,FR,2023-10-20T20:10:04.000+00:00,2023-10-20T21:17:19.000+00:00,2023-10-21T00:33:31.000+00:00,2023-10-21T03:25:46.000+00:00,2023-10-21T04:47:26.000+00:00,2023-10-21T05:39:34.000+00:00,2023-10-21T09:30:02.000+00:00,2023-10-21T11:23:16.000+00:00,2023-10-21T13:20:33.000+00:00,2023-10-21T16:37:53.000+00:00,2023-10-21T19:02:50.000+00:00,2023-10-21T21:05:25.000+00:00,2023-10-21T21:55:07.000+00:00,2023-10-22T01:08:25.000+00:00,2023-10-22T01:58:03.000+00:00,2023-10-22T05:01:40.000+00:00,2023-10-22T08:25:49.000+00:00,2023-10-22T11:49:33.000+00:00,2023-10-22T13:54:57.000+00:00
6265,Margot GAREL,FINISHER,SE F,FEMALE,FR,2023-10-20T20:21:53.000+00:00,2023-10-20T21:40:30.000+00:00,2023-10-21T00:59:32.000+00:00,2023-10-21T03:38:27.000+00:00,2023-10-21T05:19:18.000+00:00,2023-10-21T06:09:21.000+00:00,2023-10-21T10:09:40.000+00:00,2023-10-21T12:14:42.000+00:00,2023-10-21T13:53:12.000+00:00,2023-10-21T17:18:12.000+00:00,2023-10-21T19:40:15.000+00:00,2023-10-21T21:44:42.000+00:00,2023-10-21T22:30:29.000+00:00,2023-10-22T02:10:13.000+00:00,2023-10-22T03:00:35.000+00:00,2023-10-22T05:43:29.000+00:00,2023-10-22T08:02:03.000+00:00,2023-10-22T11:45:05.000+00:00,2023-10-22T14:06:51.000+00:00
5060,Pauline BOUÉ,FINISHER,SE F,FEMALE,FR,2023-10-20T20:21:53.000+00:00,2023-10-20T21:28:48.000+00:00,2023-10-21T00:53:55.000+00:00,2023-10-21T04:31:40.000+00:00,2023-10-21T05:56:20.000+00:00,2023-10-21T06:37:34.000+00:00,2023-10-21T10:27:14.000+00:00,2023-10-21T12:42:59.000+00:00,2023-10-21T14:22:27.000+00:00,2023-10-21T17:30:57.000+00:00,2023-10-21T19:39:47.000+00:00,2023-10-21T22:02:32.000+00:00,2023-10-21T23:00:30.000+00:00,2023-10-22T02:22:00.000+00:00,2023-10-22T03:09:57.000+00:00,2023-10-22T05:58:04.000+00:00,2023-10-22T09:00:25.000+00:00,2023-10-22T11:56:24.000+00:00,2023-10-22T14:19:05.000+00:00
6482,Jules Floris MICHEL,FINISHER,M5 H,MALE,FR,2023-10-20T20:21:53.000+00:00,2023-10-20T21:33:40.000+00:00,2023-10-21T00:44:10.000+00:00,2023-10-21T03:39:40.000+00:00,2023-10-21T04:48:42.000+00:00,2023-10-21T05:53:14.000+00:00,2023-10-21T10:07:15.000+00:00,2023-10-21T12:05:52.000+00:00,2023-10-21T13:46:42.000+00:00,2023-10-21T17:01:41.000+00:00,2023-10-21T19:21:30.000+00:00,2023-10-21T21:59:27.000+00:00,2023-10-21T23:00:53.000+00:00,2023-10-22T02:26:55.000+00:00,2023-10-22T03:05:06.000+00:00,2023-10-22T06:09:22.000+00:00,2023-10-22T08:27:07.000+00:00,2023-10-22T12:25:53.000+00:00,2023-10-22T14:19:33.000+00:00
5649,Mimose LAURET,FINISHER,M2 F,FEMALE,FR,2023-10-20T20:10:04.000+00:00,2023-10-20T21:11:24.000+00:00,2023-10-20T23:41:14.000+00:00,2023-10-21T01:56:16.000+00:00,2023-10-21T02:49:08.000+00:00,2023-10-21T03:28:58.000+00:00,2023-10-21T06:33:06.000+00:00,2023-10-21T08:04:19.000+00:00,2023-10-21T09:37:35.000+00:00,2023-10-21T12:37:05.000+00:00,2023-10-21T14:56:15.000+00:00,2023-10-21T16:59:07.000+00:00,2023-10-21T17:45:43.000+00:00,2023-10-21T21:28:16.000+00:00,2023-10-21T22:35:19.000+00:00,2023-10-22T03:31:06.000+00:00,2023-10-22T07:23:54.000+00:00,2023-10-22T12:06:58.000+00:00,2023-10-22T14:19:42.000+00:00
