bib,name,status,category,sex,country,Cilaos,Mare Josep,Cav Dufour,Bélouve,Hell-Bourg,Bras Marro,Merles,Nouvelle,Marla,Plat. Cerf,orangers,Pass Oussy,Deux Bras,Dos d'Ane,Ratinaud,Possession,Chaloupe,Colorado,St Denis
5823,Benjamin DUFOURG,FINISHER,M1 H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:31:15.000+00:00,2022-10-21T23:10:29.000+00:00,2022-10-22T00:45:02.000+00:00,2022-10-22T01:22:08.000+00:00,2022-10-22T01:45:54.000+00:00,2022-10-22T03:59:28.000+00:00,2022-10-22T05:02:14.000+00:00,2022-10-22T05:58:58.000+00:00,2022-10-22T07:28:13.000+00:00,2022-10-22T08:32:53.000+00:00,2022-10-22T09:32:10.000+00:00,2022-10-22T10:00:29.000+00:00,2022-10-22T11:27:48.000+00:00,2022-10-22T11:50:36.000+00:00,2022-10-22T13:10:18.000+00:00,2022-10-22T14:31:22.000+00:00,2022-10-22T16:22:17.000+00:00,2022-10-22T17:17:32.000+00:00
5363,Jessica LASSARA,FINISHER,SE F,FEMALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:30:18.000+00:00,2022-10-21T23:07:24.000+00:00,2022-10-22T00:41:50.000+00:00,2022-10-22T01:19:53.000+00:00,2022-10-22T01:41:47.000+00:00,2022-10-22T03:48:10.000+00:00,2022-10-22T04:53:21.000+00:00,2022-10-22T05:48:52.000+00:00,2022-10-22T07:19:50.000+00:00,2022-10-22T08:32:48.000+00:00,2022-10-22T09:34:52.000+00:00,2022-10-22T10:02:00.000+00:00,2022-10-22T11:27:56.000+00:00,2022-10-22T11:52:22.000+00:00,2022-10-22T13:16:15.000+00:00,2022-10-22T14:36:40.000+00:00,2022-10-22T16:25:08.000+00:00,2022-10-22T17:26:37.000+00:00
5335,Matthieu OLIVER,FINISHER,SE H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:30:01.000+00:00,2022-10-21T22:58:04.000+00:00,2022-10-22T00:24:40.000+00:00,2022-10-22T00:58:45.000+00:00,2022-10-22T01:20:05.000+00:00,2022-10-22T03:14:37.000+00:00,2022-10-22T04:14:10.000+00:00,2022-10-22T05:10:24.000+00:00,2022-10-22T06:35:37.000+00:00,2022-10-22T07:46:44.000+00:00,2022-10-22T08:50:10.000+00:00,2022-10-22T09:19:07.000+00:00,2022-10-22T10:52:50.000+00:00,2022-10-22T11:18:33.000+00:00,2022-10-22T12:39:23.000+00:00,2022-10-22T14:26:18.000+00:00,2022-10-22T16:41:00.000+00:00,2022-10-22T17:28:12.000+00:00
6323,Maelann BART,FINISHER,SE H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:30:14.000+00:00,2022-10-21T23:06:00.000+00:00,2022-10-22T00:34:09.000+00:00,2022-10-22T01:12:53.000+00:00,2022-10-22T01:35:36.000+00:00,2022-10-22T03:40:44.000+00:00,2022-10-22T04:45:20.000+00:00,2022-10-22T05:42:42.000+00:00,2022-10-22T07:09:27.000+00:00,2022-10-22T08:13:11.000+00:00,2022-10-22T09:17:45.000+00:00,2022-10-22T09:43:53.000+00:00,2022-10-22T11:20:15.000+00:00,2022-10-22T11:45:53.000+00:00,2022-10-22T13:11:30.000+00:00,2022-10-22T14:34:46.000+00:00,2022-10-22T16:32:10.000+00:00,2022-10-23T09:24:37.000+00:00
5340,Robin VERDIER,FINISHER,SE H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:32:11.000+00:00,2022-10-21T23:08:56.000+00:00,2022-10-22T00:40:17.000+00:00,2022-10-22T01:20:29.000+00:00,2022-10-22T01:42:14.000+00:00,2022-10-22T03:45:36.000+00:00,2022-10-22T04:55:15.000+00:00,2022-10-22T05:50:26.000+00:00,2022-10-22T07:31:05.000+00:00,2022-10-22T08:38:08.000+00:00,2022-10-22T09:38:23.000+00:00,2022-10-22T10:06:48.000+00:00,2022-10-22T11:32:05.000+00:00,2022-10-22T11:58:03.000+00:00,2022-10-22T13:28:14.000+00:00,2022-10-22T14:53:37.000+00:00,2022-10-22T16:52:24.000+00:00,2022-10-22T17:41:55.000+00:00
5940,Pascal PAYET,FINISHER,M2 H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:28:43.000+00:00,2022-10-21T22:55:28.000+00:00,2022-10-22T00:19:26.000+00:00,2022-10-22T00:54:12.000+00:00,2022-10-22T01:17:47.000+00:00,2022-10-22T03:41:07.000+00:00,2022-10-22T04:45:42.000+00:00,2022-10-22T05:45:02.000+00:00,2022-10-22T07:14:23.000+00:00,2022-10-22T08:18:28.000+00:00,2022-10-22T09:26:46.000+00:00,2022-10-22T09:52:19.000+00:00,2022-10-22T11:12:59.000+00:00,2022-10-22T11:44:30.000+00:00,2022-10-22T13:09:04.000+00:00,2022-10-22T14:36:30.000+00:00,2022-10-22T16:37:09.000+00:00,2022-10-22T17:46:40.000+00:00
5403,Vincent PELISSON,FINISHER,SE H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:30:46.000+00:00,2022-10-21T23:10:15.000+00:00,2022-10-22T00:42:40.000+00:00,2022-10-22T01:19:02.000+00:00,2022-10-22T01:47:57.000+00:00,2022-10-22T03:53:56.000+00:00,2022-10-22T04:53:37.000+00:00,2022-10-22T05:49:02.000+00:00,2022-10-22T07:19:56.000+00:00,2022-10-22T08:24:19.000+00:00,2022-10-22T09:31:45.000+00:00,2022-10-22T09:58:55.000+00:00,2022-10-22T11:51:08.000+00:00,2022-10-22T12:12:58.000+00:00,2022-10-22T13:35:20.000+00:00,2022-10-22T15:06:17.000+00:00,2022-10-22T16:56:38.000+00:00,2022-10-22T17:49:31.000+00:00
6026,Mael THOMASSIN,FINISHER,SE H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:31:54.000+00:00,2022-10-21T23:10:25.000+00:00,2022-10-22T00:41:51.000+00:00,2022-10-22T01:19:28.000+00:00,2022-10-22T01:41:48.000+00:00,2022-10-22T03:48:12.000+00:00,2022-10-22T04:53:24.000+00:00,2022-10-22T05:48:55.000+00:00,2022-10-22T07:19:37.000+00:00,2022-10-22T08:28:46.000+00:00,2022-10-22T09:33:17.000+00:00,2022-10-22T10:00:31.000+00:00,2022-10-22T11:54:38.000+00:00,2022-10-22T12:18:29.000+00:00,2022-10-22T13:41:08.000+00:00,2022-10-22T15:06:28.000+00:00,2022-10-22T16:57:40.000+00:00,2022-10-22T17:50:53.000+00:00
6038,Benoît PHALIPPOU,FINISHER,M1 H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:30:52.000+00:00,2022-10-21T23:08:51.000+00:00,2022-10-22T00:42:11.000+00:00,2022-10-22T01:19:05.000+00:00,2022-10-22T01:43:25.000+00:00,2022-10-22T03:52:53.000+00:00,2022-10-22T04:53:40.000+00:00,2022-10-22T05:49:09.000+00:00,2022-10-22T07:19:23.000+00:00,2022-10-22T08:28:17.000+00:00,2022-10-22T09:31:42.000+00:00,2022-10-22T09:58:53.000+00:00,2022-10-22T11:42:56.000+00:00,2022-10-22T12:07:39.000+00:00,2022-10-22T13:41:08.000+00:00,2022-10-22T15:22:23.000+00:00,2022-10-22T17:09:33.000+00:00,2022-10-22T17:55:04.000+00:00
5923,Ambroise FOUBERT,FINISHER,SE H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:30:00.000+00:00,2022-10-21T23:02:38.000+00:00,2022-10-22T00:31:45.000+00:00,2022-10-22T01:14:29.000+00:00,2022-10-22T01:35:16.000+00:00,2022-10-22T03:38:05.000+00:00,2022-10-22T04:40:48.000+00:00,2022-10-22T05:34:44.000+00:00,2022-10-22T07:04:24.000+00:00,2022-10-22T08:12:49.000+00:00,2022-10-22T09:15:56.000+00:00,2022-10-22T09:42:56.000+00:00,2022-10-22T11:33:49.000+00:00,2022-10-22T11:57:54.000+00:00,2022-10-22T13:23:17.000+00:00,2022-10-22T15:09:44.000+00:00,2022-10-22T16:59:49.000+00:00,2022-10-22T17:55:32.000+00:00
