bib,name,segment_time,rank,sex,year,secteur,end_checkpoint,start_checkpoint,filtrer_valeur_aberrante
7153,Jonathan COTTE,01:00:39,10,MALE,2024,Ratinaud → Possession,Possession,Ratinaud,False
7284,Leo SERCA,01:01:35,11,MALE,2024,Ratinaud → Possession,Possession,Ratinaud,False
7026,Yannick IMBROSCIANO,01:02:27,12,MALE,2024,Ratinaud → Possession,Possession,Ratinaud,False
7455,Anne Marie JOHN,01:05:56,1,FEMALE,2025,Ratinaud → Possession,Possession,Ratinaud,False
7531,Lucie TRAISSAC,01:06:14,2,FEMALE,2025,Ratinaud → Possession,Possession,Ratinaud,False
7373,Marcelle PUY,01:07:41,3,FEMALE,2024,Ratinaud → Possession,Possession,Ratinaud,False
7017,Nambinintsoa RAVAOARISOA,01:10:42,4,FEMALE,2025,Ratinaud → Possession,Possession,Ratinaud,False
7354,Céline LOUIS,01:11:22,5,FEMALE,2024,Ratinaud → Possession,Possession,Ratinaud,False
7258,Elise DUCHEZ,01:14:01,6,FEMALE,2024,Ratinaud → Possession,Possession,Ratinaud,False
7615,Ludivine RABUEL,01:15:36,7,FEMALE,2025,Ratinaud → Possession,Possession,Ratinaud,False
7024,Miora RAZANAKOLONA,01:16:14,8,FEMALE,2025,Ratinaud → Possession,Possession,Ratinaud,False
7483,Caroline CHEUL,01:18:40,9,FEMALE,2025,Ratinaud → Possession,Possession,Ratinaud,False
7252,Sabrina SAUVE,01:19:34,10,FEMALE,2024,Ratinaud → Possession,Possession,Ratinaud,False
7413,Celia SEYCHELLES,01:21:29,11,FEMALE,2024,Ratinaud → Possession,Possession,Ratinaud,False
7062,Emilie DIETRICH,01:22:36,12,FEMALE,2024,Ratinaud → Possession,Possession,Ratinaud,False
7613,Joseph Jean Damien RAVINA,00:55:34,1,MALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
7032,Yoann MARTIN,00:55:56,2,MALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
7026,Yannick IMBROSCIANO,00:57:57,3,MALE,2024,Possession → Chaloupe,Chaloupe,Possession,False
7201,Yannick IMBROSCIANO,00:58:00,4,MALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
