bib,name,status,category,sex,country,Peyreleau,Champignon,St Andrée,La Roque,La Salvage,Mas de Bru,Massebiau,Cade,la pouncho,Arrivée
5448,Jerome TURNACO,FINISHER,M1-M2H,MALE,FR,2022-10-21T07:05:08.000+00:00,2022-10-21T09:04:11.000+00:00,2022-10-21T10:21:24.000+00:00,2022-10-21T12:13:34.000+00:00,2022-10-21T14:21:54.000+00:00,2022-10-21T16:14:10.000+00:00,2022-10-21T17:15:07.000+00:00,2022-10-21T18:20:21.000+00:00,2022-10-21T19:02:21.000+00:00,2022-10-21T19:46:47.000+00:00
5344,Alexandre AMEIL,FINISHER,M1-M2H,MALE,FR,2022-10-21T07:05:05.000+00:00,2022-10-21T09:04:59.000+00:00,2022-10-21T10:17:06.000+00:00,2022-10-21T12:23:03.000+00:00,2022-10-21T14:43:07.000+00:00,2022-10-21T16:29:32.000+00:00,2022-10-21T17:25:31.000+00:00,2022-10-21T18:24:45.000+00:00,2022-10-21T19:05:50.000+00:00,2022-10-21T19:47:33.000+00:00
5574,Gérard ETCHEVERRY,FINISHER,M3-M4H,MALE,FR,2022-10-21T07:05:15.000+00:00,2022-10-21T09:02:50.000+00:00,2022-10-21T10:15:19.000+00:00,2022-10-21T12:16:44.000+00:00,2022-10-21T14:26:57.000+00:00,2022-10-21T16:15:32.000+00:00,2022-10-21T17:22:48.000+00:00,2022-10-21T18:20:01.000+00:00,2022-10-21T18:57:42.000+00:00,2022-10-21T20:43:42.000+00:00
5443,Yannick DAOULAS,FINISHER,M3-M4H,MALE,FR,2022-10-21T07:05:27.000+00:00,2022-10-21T09:16:27.000+00:00,2022-10-21T10:29:50.000+00:00,2022-10-21T12:19:35.000+00:00,2022-10-21T14:31:36.000+00:00,2022-10-21T16:23:42.000+00:00,2022-10-21T17:17:08.000+00:00,2022-10-21T18:33:01.000+00:00,2022-10-21T19:10:37.000+00:00,2022-10-21T19:47:26.000+00:00
5434,Hugo LE ROCH,FINISHER,M1-M2H,MALE,FR,2022-10-21T07:05:09.000+00:00,2022-10-21T09:06:04.000+00:00,2022-10-21T10:18:14.000+00:00,2022-10-21T12:23:34.000+00:00,2022-10-21T14:55:37.000+00:00,2022-10-21T16:30:38.000+00:00,2022-10-21T17:23:33.000+00:00,2022-10-21T18:33:35.000+00:00,2022-10-21T19:21:46.000+00:00,2022-10-21T20:03:35.000+00:00
5651,Thibault LEDUC,FINISHER,M3-M4H,MALE,FR,2022-10-21T07:05:44.000+00:00,2022-10-21T09:22:03.000+00:00,2022-10-21T10:37:40.000+00:00,2022-10-21T12:34:49.000+00:00,2022-10-21T14:53:39.000+00:00,2022-10-21T16:34:27.000+00:00,2022-10-21T17:21:50.000+00:00,2022-10-21T18:30:20.000+00:00,2022-10-21T19:12:03.000+00:00,2022-10-21T19:52:40.000+00:00
5362,Hélène ROUVE,FINISHER,M1-M2F,FEMALE,FR,2022-10-21T07:05:08.000+00:00,2022-10-21T09:16:08.000+00:00,2022-10-21T10:38:16.000+00:00,2022-10-21T12:35:51.000+00:00,2022-10-21T14:54:27.000+00:00,2022-10-21T16:37:21.000+00:00,2022-10-21T17:29:12.000+00:00,2022-10-21T18:32:10.000+00:00,2022-10-21T19:05:26.000+00:00,2022-10-21T19:53:19.000+00:00
5003,Hugo BAVILLE,FINISHER,SE H,MALE,FR,2022-10-21T07:05:07.000+00:00,2022-10-21T09:08:55.000+00:00,2022-10-21T10:17:27.000+00:00,2022-10-21T12:36:14.000+00:00,2022-10-21T14:50:35.000+00:00,2022-10-21T16:28:59.000+00:00,2022-10-21T17:25:24.000+00:00,2022-10-21T18:25:44.000+00:00,2022-10-21T19:12:32.000+00:00,2022-10-21T19:57:30.000+00:00
5569,Fabrice PIOU,FINISHER,M1-M2H,MALE,FR,2022-10-21T07:05:39.000+00:00,2022-10-21T09:22:08.000+00:00,2022-10-21T10:36:07.000+00:00,2022-10-21T12:43:29.000+00:00,2022-10-21T15:03:32.000+00:00,2022-10-21T16:37:25.000+00:00,2022-10-21T17:28:55.000+00:00,2022-10-21T18:31:55.000+00:00,2022-10-21T19:16:52.000+00:00,2022-10-21T19:57:26.000+00:00
5013,Roméo DE CARVALHO,FINISHER,M1-M2H,MALE,PT,2022-10-21T07:05:41.000+00:00,2022-10-21T09:15:14.000+00:00,2022-10-21T10:28:03.000+00:00,2022-10-21T12:44:41.000+00:00,2022-10-21T15:09:00.000+00:00,2022-10-21T16:34:46.000+00:00,2022-10-21T17:26:20.000+00:00,2022-10-21T18:31:51.000+00:00,2022-10-21T19:16:52.000+00:00,2022-10-21T20:27:54.000+00:00
5533,Christophe BOUTON,FINISHER,M3-M4H,MALE,FR,2022-10-21T07:05:09.000+00:00,2022-10-21T09:10:24.000+00:00,2022-10-21T10:34:59.000+00:00,2022-10-21T12:50:42.000+00:00,2022-10-21T14:56:46.000+00:00,2022-10-21T16:40:41.000+00:00,2022-10-21T17:34:41.000+00:00,2022-10-21T18:41:50.000+00:00,2022-10-21T19:16:43.000+00:00,2022-10-21T19:55:18.000+00:00
5512,Eric MARLIER,FINISHER,M3-M4H,MALE,FR,2022-10-21T07:05:14.000+00:00,2022-10-21T09:13:23.000+00:00,2022-10-21T10:28:43.000+00:00,2022-10-21T12:35:50.000+00:00,2022-10-21T14:46:22.000+00:00,2022-10-21T16:34:51.000+00:00,2022-10-21T17:26:21.000+00:00,2022-10-21T18:24:58.000+00:00,2022-10-21T19:12:11.000+00:00,2022-10-21T20:00:36.000+00:00
5336,Aicha SMIRAOUI,FINISHER,M3-M4F,FEMALE,FR,2022-10-21T07:05:14.000+00:00,2022-10-21T09:13:11.000+00:00,2022-10-21T10:28:35.000+00:00,2022-10-21T12:35:49.000+00:00,2022-10-21T14:43:29.000+00:00,2022-10-21T16:34:48.000+00:00,2022-10-21T17:26:40.000+00:00,2022-10-21T18:32:08.000+00:00,2022-10-21T19:12:11.000+00:00,2022-10-21T19:55:37.000+00:00
5134,Stéphanie GARNOT,FINISHER,M3-M4F,FEMALE,FR,2022-10-21T06:50:16.000+00:00,2022-10-21T09:03:35.000+00:00,2022-10-21T10:26:30.000+00:00,2022-10-21T12:36:59.000+00:00,2022-10-21T14:42:14.000+00:00,2022-10-21T16:24:18.000+00:00,2022-10-21T17:22:59.000+00:00,2022-10-21T18:22:06.000+00:00,2022-10-21T19:06:03.000+00:00,2022-10-21T19:55:38.000+00:00
5092,Mickael METIVIER,FINISHER,M1-M2H,MALE,FR,2022-10-21T07:05:17.000+00:00,2022-10-21T09:06:12.000+00:00,2022-10-21T10:22:13.000+00:00,2022-10-21T12:29:08.000+00:00,2022-10-21T15:04:56.000+00:00,2022-10-21T16:47:10.000+00:00,2022-10-21T17:38:58.000+00:00,2022-10-21T18:43:23.000+00:00,2022-10-21T19:25:49.000+00:00,2022-10-21T20:04:09.000+00:00
5440,Thomas VOISINE,FINISHER,M1-M2H,MALE,FR,2022-10-21T07:05:14.000+00:00,2022-10-21T09:06:15.000+00:00,2022-10-21T10:22:12.000+00:00,2022-10-21T12:25:42.000+00:00,2022-10-21T15:02:53.000+00:00,2022-10-21T16:47:10.000+00:00,2022-10-21T17:38:59.000+00:00,2022-10-21T18:43:22.000+00:00,2022-10-21T19:25:48.000+00:00,2022-10-21T20:03:31.000+00:00
5645,Arnaud MAZENS,FINISHER,SE H,MALE,FR,2022-10-21T07:05:06.000+00:00,2022-10-21T09:15:18.000+00:00,2022-10-21T10:27:55.000+00:00,2022-10-21T12:45:58.000+00:00,2022-10-21T14:37:27.000+00:00,2022-10-21T16:28:58.000+00:00,2022-10-21T17:25:24.000+00:00,2022-10-21T18:25:49.000+00:00,2022-10-21T19:12:32.000+00:00,2022-10-21T19:56:00.000+00:00
5556,Joffrey FRANCOIS,FINISHER,SE H,MALE,FR,2022-10-21T07:05:38.000+00:00,2022-10-21T09:16:05.000+00:00,2022-10-21T10:26:03.000+00:00,2022-10-21T12:19:55.000+00:00,2022-10-21T14:51:08.000+00:00,2022-10-21T16:46:22.000+00:00,2022-10-21T17:27:09.000+00:00,2022-10-21T18:30:26.000+00:00,2022-10-21T19:13:30.000+00:00,2022-10-21T19:56:09.000+00:00
5196,Slimane AZIBI,FINISHER,M3-M4H,MALE,FR,2022-10-21T06:50:30.000+00:00,2022-10-21T08:43:28.000+00:00,2022-10-21T09:53:49.000+00:00,2022-10-21T11:38:56.000+00:00,2022-10-21T14:00:59.000+00:00,2022-10-21T15:49:50.000+00:00,2022-10-21T16:44:33.000+00:00,2022-10-21T18:10:49.000+00:00,2022-10-21T19:08:21.000+00:00,2022-10-21T19:58:10.000+00:00
