bib,name,status,category,sex,country,Peyreleau,St Andrée,La Roque,La Salvage,Mas de Bru,Massebiau,Cade,la pouncho,Arrivée
5454,Emmanuel LOISEAU,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:40:05.000+00:00,2023-10-20T11:38:27.000+00:00,2023-10-20T13:53:52.000+00:00,2023-10-20T16:12:05.000+00:00,2023-10-20T17:06:55.000+00:00,2023-10-20T18:31:32.000+00:00,2023-10-20T19:14:02.000+00:00,2023-10-20T20:04:04.000+00:00
5654,Fabien APOLIT,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:07:34.000+00:00,2023-10-20T12:12:42.000+00:00,2023-10-20T14:18:12.000+00:00,2023-10-20T16:28:16.000+00:00,2023-10-20T17:21:50.000+00:00,2023-10-20T18:30:00.000+00:00,2023-10-20T19:17:01.000+00:00,2023-10-20T20:04:18.000+00:00
5355,Romain RAINERO,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:07:27.000+00:00,2023-10-20T12:12:59.000+00:00,2023-10-20T14:17:39.000+00:00,2023-10-20T16:27:31.000+00:00,2023-10-20T17:21:50.000+00:00,2023-10-20T18:30:00.000+00:00,2023-10-20T19:16:53.000+00:00,2023-10-20T20:04:18.000+00:00
5357,Rémy ROUSSEAU,FINISHER,S-M0H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:39:52.000+00:00,2023-10-20T11:36:48.000+00:00,2023-10-20T13:56:11.000+00:00,2023-10-20T16:16:04.000+00:00,2023-10-20T17:12:41.000+00:00,2023-10-20T18:18:02.000+00:00,2023-10-20T19:12:02.000+00:00,2023-10-20T20:05:24.000+00:00
5358,Simon MALAMOUD,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:44:55.000+00:00,2023-10-20T11:52:31.000+00:00,2023-10-20T13:58:49.000+00:00,2023-10-20T16:11:31.000+00:00,2023-10-20T17:13:24.000+00:00,2023-10-20T18:30:58.000+00:00,2023-10-20T19:12:07.000+00:00,2023-10-20T20:05:24.000+00:00
5474,Mathilde BESNIER,FINISHER,M3-M4F,FEMALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:10:40.000+00:00,2023-10-20T12:19:45.000+00:00,2023-10-20T14:23:33.000+00:00,2023-10-20T16:26:28.000+00:00,2023-10-20T17:19:53.000+00:00,2023-10-20T18:34:24.000+00:00,2023-10-20T19:12:00.000+00:00,2023-10-20T20:05:46.000+00:00
5394,Christophe RICHARD,FINISHER,M3-M4H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:46:48.000+00:00,2023-10-20T12:04:31.000+00:00,2023-10-20T14:18:07.000+00:00,2023-10-20T16:26:27.000+00:00,2023-10-20T17:34:59.000+00:00,2023-10-20T18:38:05.000+00:00,2023-10-20T19:16:55.000+00:00,2023-10-20T20:06:38.000+00:00
5425,Vincent DESMARTIN,FINISHER,M3-M4H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:50:02.000+00:00,2023-10-20T11:52:35.000+00:00,2023-10-20T14:02:17.000+00:00,2023-10-20T16:17:50.000+00:00,2023-10-20T17:19:53.000+00:00,2023-10-20T18:36:28.000+00:00,2023-10-20T19:16:56.000+00:00,2023-10-20T20:07:12.000+00:00
5499,Florian AUTRET,FINISHER,M3-M4H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:04:53.000+00:00,2023-10-20T12:19:15.000+00:00,2023-10-20T14:29:17.000+00:00,2023-10-20T16:39:15.000+00:00,2023-10-20T17:34:39.000+00:00,2023-10-20T18:46:45.000+00:00,2023-10-20T19:29:23.000+00:00,2023-10-20T20:10:37.000+00:00
5599,Sébastien VERHILLE,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:54:33.000+00:00,2023-10-20T12:11:00.000+00:00,2023-10-20T14:24:51.000+00:00,2023-10-20T16:31:47.000+00:00,2023-10-20T17:24:47.000+00:00,2023-10-20T18:39:05.000+00:00,2023-10-20T19:25:43.000+00:00,2023-10-20T20:10:40.000+00:00
5120,Lamia EL JAZIRI,FINISHER,M3-M4F,FEMALE,FR,2023-10-20T06:50:38.000+00:00,2023-10-20T09:40:52.000+00:00,2023-10-20T11:47:44.000+00:00,2023-10-20T14:00:10.000+00:00,2023-10-20T16:02:44.000+00:00,2023-10-20T17:00:15.000+00:00,2023-10-20T18:19:46.000+00:00,2023-10-20T19:14:53.000+00:00,2023-10-20T20:11:03.000+00:00
5121,Pascal MARTIN,FINISHER,M1-M2H,MALE,FR,2023-10-20T06:50:38.000+00:00,2023-10-20T09:40:57.000+00:00,2023-10-20T11:47:47.000+00:00,2023-10-20T14:00:11.000+00:00,2023-10-20T16:02:12.000+00:00,2023-10-20T17:00:19.000+00:00,2023-10-20T18:19:51.000+00:00,2023-10-20T19:15:01.000+00:00,2023-10-20T20:11:04.000+00:00
5580,Samuel HERAUD,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:45:50.000+00:00,2023-10-20T11:56:00.000+00:00,2023-10-20T14:09:30.000+00:00,2023-10-20T16:30:10.000+00:00,2023-10-20T17:27:55.000+00:00,2023-10-20T18:39:48.000+00:00,2023-10-20T19:25:47.000+00:00,2023-10-20T20:12:10.000+00:00
5577,Guillaume RENAUD,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:46:02.000+00:00,2023-10-20T11:55:59.000+00:00,2023-10-20T14:07:20.000+00:00,2023-10-20T16:30:23.000+00:00,2023-10-20T17:22:38.000+00:00,2023-10-20T18:35:10.000+00:00,2023-10-20T19:25:42.000+00:00,2023-10-20T20:12:10.000+00:00
5578,Francois DURANDET,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:46:03.000+00:00,2023-10-20T11:56:07.000+00:00,2023-10-20T14:09:30.000+00:00,2023-10-20T16:30:30.000+00:00,2023-10-20T17:27:57.000+00:00,2023-10-20T18:39:49.000+00:00,2023-10-20T19:25:43.000+00:00,2023-10-20T20:12:10.000+00:00
5579,Éric VINET,FINISHER,M1-M2H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:45:50.000+00:00,2023-10-20T11:56:01.000+00:00,2023-10-20T14:07:24.000+00:00,2023-10-20T16:30:21.000+00:00,2023-10-20T17:22:38.000+00:00,2023-10-20T18:30:20.000+00:00,2023-10-20T19:25:39.000+00:00,2023-10-20T20:12:10.000+00:00
5628,Karine RETAILLEAU,FINISHER,M1-M2F,FEMALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:10:43.000+00:00,2023-10-20T12:17:31.000+00:00,2023-10-20T14:22:49.000+00:00,2023-10-20T16:27:13.000+00:00,2023-10-20T17:22:37.000+00:00,2023-10-20T18:31:59.000+00:00,2023-10-20T19:19:17.000+00:00,2023-10-20T20:13:27.000+00:00
5544,Bénédicte PASQUIET,FINISHER,M3-M4F,FEMALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T10:10:43.000+00:00,2023-10-20T12:17:24.000+00:00,2023-10-20T14:22:48.000+00:00,2023-10-20T16:27:12.000+00:00,2023-10-20T17:22:38.000+00:00,2023-10-20T18:32:00.000+00:00,2023-10-20T19:19:18.000+00:00,2023-10-20T20:13:27.000+00:00
5452,Laurent BONNAUDET,FINISHER,M3-M4H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:56:00.000+00:00,2023-10-20T12:19:39.000+00:00,2023-10-20T14:44:06.000+00:00,2023-10-20T16:53:08.000+00:00,2023-10-20T17:41:23.000+00:00,2023-10-20T18:49:01.000+00:00,2023-10-20T19:31:26.000+00:00,2023-10-20T20:14:08.000+00:00
5524,Gaetan BOUDAUD,FINISHER,M3-M4H,MALE,FR,2023-10-20T07:05:38.000+00:00,2023-10-20T09:49:35.000+00:00,2023-10-20T11:55:48.000+00:00,2023-10-20T14:06:48.000+00:00,2023-10-20T16:24:01.000+00:00,2023-10-20T17:19:32.000+00:00,2023-10-20T18:40:55.000+00:00,2023-10-20T19:27:22.000+00:00,2023-10-20T20:14:22.000+00:00
